"term","ontology","ID","Description","total_sig","up_count","down_count","sig_count","consensus"
"MF: receptor ligand activity","MF","GO:0048018","receptor ligand activity",12,9,3,12,"mixed"
"MF: tubulin binding","MF","GO:0015631","tubulin binding",12,7,5,12,"mixed"
"BP: DNA integrity checkpoint signaling","BP","GO:0031570","DNA integrity checkpoint signaling",11,3,8,11,"mixed"
"BP: DNA recombination","BP","GO:0006310","DNA recombination",11,4,7,11,"mixed"
"BP: DNA replication","BP","GO:0006260","DNA replication",11,4,7,11,"mixed"
"BP: Golgi vesicle transport","BP","GO:0048193","Golgi vesicle transport",11,6,5,11,"mixed"
"BP: actin filament organization","BP","GO:0007015","actin filament organization",11,7,4,11,"mixed"
"BP: adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",11,6,5,11,"mixed"
"BP: aerobic respiration","BP","GO:0009060","aerobic respiration",11,6,5,11,"mixed"
"BP: attachment of spindle microtubules to kinetochore","BP","GO:0008608","attachment of spindle microtubules to kinetochore",11,5,6,11,"mixed"
"BP: biomineral tissue development","BP","GO:0031214","biomineral tissue development",11,6,5,11,"mixed"
"BP: blood coagulation","BP","GO:0007596","blood coagulation",11,7,4,11,"mixed"
"BP: bone development","BP","GO:0060348","bone development",11,5,6,11,"mixed"
"BP: cardiocyte differentiation","BP","GO:0035051","cardiocyte differentiation",11,5,6,11,"mixed"
"BP: cell fate commitment","BP","GO:0045165","cell fate commitment",11,5,6,11,"mixed"
"BP: cell-matrix adhesion","BP","GO:0007160","cell-matrix adhesion",11,7,4,11,"mixed"
"BP: cell-substrate junction assembly","BP","GO:0007044","cell-substrate junction assembly",11,7,4,11,"mixed"
"BP: cell-substrate junction organization","BP","GO:0150115","cell-substrate junction organization",11,7,4,11,"mixed"
"BP: cellular catabolic process","BP","GO:0044248","cellular catabolic process",11,6,5,11,"mixed"
"BP: cellular respiration","BP","GO:0045333","cellular respiration",11,5,6,11,"mixed"
"BP: cellular response to transforming growth factor beta stimulus","BP","GO:0071560","cellular response to transforming growth factor beta stimulus",11,4,7,11,"mixed"
"BP: chromosome localization","BP","GO:0050000","chromosome localization",11,4,7,11,"mixed"
"BP: coagulation","BP","GO:0050817","coagulation",11,7,4,11,"mixed"
"BP: collagen metabolic process","BP","GO:0032963","collagen metabolic process",11,6,5,11,"mixed"
"BP: connective tissue development","BP","GO:0061448","connective tissue development",11,6,5,11,"mixed"
"BP: embryonic organ morphogenesis","BP","GO:0048562","embryonic organ morphogenesis",11,5,6,11,"mixed"
"BP: energy derivation by oxidation of organic compounds","BP","GO:0015980","energy derivation by oxidation of organic compounds",11,5,6,11,"mixed"
"BP: epithelial cell development","BP","GO:0002064","epithelial cell development",11,7,4,11,"mixed"
"BP: establishment of chromosome localization","BP","GO:0051303","establishment of chromosome localization",11,4,7,11,"mixed"
"BP: formation of primary germ layer","BP","GO:0001704","formation of primary germ layer",11,6,5,11,"mixed"
"BP: gliogenesis","BP","GO:0042063","gliogenesis",11,7,4,11,"mixed"
"BP: heart process","BP","GO:0003015","heart process",11,6,5,11,"mixed"
"BP: hemostasis","BP","GO:0007599","hemostasis",11,7,4,11,"mixed"
"BP: interleukin-6 production","BP","GO:0032635","interleukin-6 production",11,5,6,11,"mixed"
"BP: kidney development","BP","GO:0001822","kidney development",11,6,5,11,"mixed"
"BP: leukocyte mediated immunity","BP","GO:0002443","leukocyte mediated immunity",11,6,5,11,"mixed"
"BP: lymphocyte proliferation","BP","GO:0046651","lymphocyte proliferation",11,6,5,11,"mixed"
"BP: metaphase chromosome alignment","BP","GO:0051310","metaphase chromosome alignment",11,4,7,11,"mixed"
"BP: mitotic sister chromatid segregation","BP","GO:0000070","mitotic sister chromatid segregation",11,4,7,11,"mixed"
"BP: mitotic spindle assembly checkpoint signaling","BP","GO:0007094","mitotic spindle assembly checkpoint signaling",11,5,6,11,"mixed"
"BP: mitotic spindle checkpoint signaling","BP","GO:0071174","mitotic spindle checkpoint signaling",11,5,6,11,"mixed"
"BP: mononuclear cell differentiation","BP","GO:1903131","mononuclear cell differentiation",11,3,8,11,"mixed"
