"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Maddock_LMN_FA2_batchcorrection_0.05_all_genes.rds","Wang_0.05_all_genes.rds","Erwin_batchcorrection_0.05_all_genes.rds","Li_FRDA_CTRL_0.05_all_genes.rds","Li_FRDA_IC_0.05_all_genes.rds","Chutake_0.05_all_genes.rds","up_count","down_count","sig_count","consensus"
"BP: keratinocyte proliferation",0,0,0,-1,0,0,0,0,0,1,1,0,1,0,-1,0,-1,1,0,0,0,0,0,4,3,7,"mixed"
"BP: miRNA transcription",0,0,0,-1,0,0,1,0,0,1,1,0,1,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: microtubule-based transport",0,1,0,1,0,0,0,0,0,-1,-1,0,1,0,0,1,0,0,0,0,-1,0,0,4,3,7,"mixed"
"BP: mitotic spindle elongation",0,0,0,0,1,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,-1,-1,0,4,3,7,"mixed"
"BP: monocarboxylic acid catabolic process",-1,1,0,0,0,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,0,-1,0,4,3,7,"mixed"
"BP: monocarboxylic acid transport",0,0,0,-1,0,0,0,0,1,1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: myeloid cell activation involved in immune response",0,0,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,0,0,0,-1,0,1,0,4,3,7,"mixed"
"BP: negative regulation of apoptotic signaling pathway",0,0,0,-1,0,0,1,0,0,1,0,0,1,-1,-1,1,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: negative regulation of cellular response to growth factor stimulus",0,0,0,-1,0,0,1,0,0,0,1,0,1,-1,-1,0,0,0,1,0,0,0,0,4,3,7,"mixed"
"BP: negative regulation of extrinsic apoptotic signaling pathway",0,0,0,-1,0,0,0,0,0,1,0,0,1,-1,-1,1,0,0,0,0,0,0,1,4,3,7,"mixed"
"BP: negative regulation of innate immune response",0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,-1,0,0,1,0,0,0,0,0,4,3,7,"mixed"
"BP: negative regulation of leukocyte cell-cell adhesion",0,0,0,-1,0,0,1,0,0,1,1,0,0,-1,-1,0,0,1,0,0,0,0,0,4,3,7,"mixed"
"BP: negative regulation of leukocyte proliferation",0,0,0,-1,0,0,1,0,0,1,1,0,0,-1,-1,0,0,1,0,0,0,0,0,4,3,7,"mixed"
"BP: negative regulation of protein phosphorylation",0,1,0,0,0,-1,0,0,0,1,0,0,1,0,-1,0,-1,0,0,0,0,1,0,4,3,7,"mixed"
"BP: osteoclast differentiation",0,1,0,-1,0,0,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,4,3,7,"mixed"
"BP: phospholipase C-activating G protein-coupled receptor signaling pathway",0,1,0,-1,0,0,0,0,0,1,1,0,0,0,0,-1,-1,1,0,0,0,0,0,4,3,7,"mixed"
"BP: phospholipid metabolic process",0,1,-1,0,0,0,1,0,1,1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,4,3,7,"mixed"
"BP: platelet aggregation",0,1,0,-1,0,0,1,0,0,1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,4,3,7,"mixed"
"BP: positive regulation of chemokine production",0,0,0,-1,0,0,1,0,0,1,1,0,0,-1,-1,0,0,1,0,0,0,0,0,4,3,7,"mixed"
"BP: positive regulation of cytokine-mediated signaling pathway",0,0,0,-1,0,0,0,0,0,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: positive regulation of endocytosis",0,1,0,-1,0,0,1,0,0,1,1,0,0,-1,0,-1,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: positive regulation of excitatory postsynaptic potential",0,0,0,1,-1,0,1,0,0,-1,0,0,-1,1,0,0,0,0,1,0,0,0,0,4,3,7,"mixed"
"BP: positive regulation of interleukin-6 production",0,0,0,-1,0,0,0,0,0,1,1,1,0,-1,-1,0,0,1,0,0,0,0,0,4,3,7,"mixed"
"BP: positive regulation of lymphocyte proliferation",0,0,0,-1,0,0,1,0,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,1,4,3,7,"mixed"
"BP: positive regulation of mononuclear cell proliferation",0,0,0,-1,0,0,1,0,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,1,4,3,7,"mixed"
"BP: positive regulation of neural precursor cell proliferation",0,0,0,-1,0,0,0,0,0,0,1,1,1,0,-1,0,0,1,0,0,-1,0,0,4,3,7,"mixed"
"BP: positive regulation of protein transport",0,1,0,-1,0,0,1,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,-1,0,4,3,7,"mixed"
"BP: positive regulation of wound healing",0,1,0,-1,0,0,1,0,0,1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,4,3,7,"mixed"
"BP: protein targeting",0,1,-1,0,0,0,1,0,0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,4,3,7,"mixed"
"BP: reactive oxygen species metabolic process",0,1,0,-1,0,-1,0,0,0,1,0,1,1,0,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: regulation of CD4-positive, alpha-beta T cell activation",0,0,0,-1,0,0,1,0,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,1,4,3,7,"mixed"
"BP: regulation of CD4-positive, alpha-beta T cell differentiation",0,0,0,-1,0,0,0,0,-1,1,1,0,0,0,-1,0,0,0,0,0,0,1,1,4,3,7,"mixed"
"BP: regulation of actomyosin structure organization",0,0,0,-1,0,0,1,0,0,1,1,0,1,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: regulation of endopeptidase activity",0,0,0,-1,0,0,1,0,0,1,1,1,0,0,-1,0,-1,0,0,0,0,0,0,4,3,7,"mixed"
"BP: regulation of epithelial to mesenchymal transition",0,0,0,-1,0,-1,0,0,0,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: regulation of lymphocyte mediated immunity",0,0,0,-1,0,0,1,0,0,1,1,0,1,0,-1,-1,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: regulation of mRNA splicing, via spliceosome",1,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,4,3,7,"mixed"
"BP: regulation of miRNA transcription",0,0,0,-1,0,0,1,0,0,1,1,0,1,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: regulation of myeloid leukocyte differentiation",0,0,0,-1,0,0,1,0,-1,1,1,0,0,0,-1,0,0,0,0,0,0,0,1,4,3,7,"mixed"
"BP: regulation of neuron apoptotic process",0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,-1,1,0,-1,0,0,4,3,7,"mixed"
"BP: regulation of organelle assembly",0,0,-1,1,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,1,0,0,0,1,4,3,7,"mixed"
"BP: regulation of protein transport",0,1,0,-1,0,-1,1,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: regulation of protein ubiquitination",0,0,-1,0,0,0,-1,0,0,0,-1,0,1,0,0,1,0,0,0,0,1,1,0,4,3,7,"mixed"
"BP: regulation of synapse assembly",0,0,0,1,0,0,1,0,0,-1,0,-1,0,1,1,0,0,0,0,0,-1,0,0,4,3,7,"mixed"
"BP: regulation of tissue remodeling",0,1,0,-1,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,0,0,0,0,0,4,3,7,"mixed"
"BP: regulation of transforming growth factor beta receptor signaling pathway",0,0,0,-1,0,0,0,0,0,1,1,0,1,-1,-1,0,0,0,0,0,1,0,0,4,3,7,"mixed"
"BP: regulation of type II interferon production",0,1,0,-1,0,-1,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,1,4,3,7,"mixed"
"BP: regulation of viral process",0,0,0,-1,0,0,0,0,0,1,1,0,1,-1,-1,0,0,1,0,0,0,0,0,4,3,7,"mixed"
"BP: response to type I interferon",0,0,0,-1,0,0,0,0,0,1,1,0,0,-1,-1,0,0,0,0,0,1,1,0,4,3,7,"mixed"
"BP: response to type II interferon",0,1,0,-1,0,0,1,0,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: ribosome assembly",0,-1,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,1,1,1,0,4,3,7,"mixed"
"BP: salivary gland morphogenesis",0,0,0,-1,0,0,1,0,0,0,1,1,1,0,-1,0,0,0,0,0,-1,0,0,4,3,7,"mixed"
"BP: smooth muscle contraction",0,0,0,-1,0,0,0,0,0,1,1,0,0,0,-1,0,-1,1,1,0,0,0,0,4,3,7,"mixed"
"BP: spindle elongation",0,0,0,0,1,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,-1,-1,0,4,3,7,"mixed"
"BP: spindle localization",0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,0,4,3,7,"mixed"
"BP: tRNA metabolic process",0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,1,1,1,-1,4,3,7,"mixed"
"BP: type I interferon-mediated signaling pathway",0,0,0,-1,0,0,0,0,0,1,1,0,0,-1,-1,0,0,0,0,0,1,1,0,4,3,7,"mixed"
"BP: type II interferon production",0,1,0,-1,0,-1,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,1,4,3,7,"mixed"
"BP: ventricular septum development",0,0,0,-1,0,0,0,0,0,0,1,1,1,0,-1,0,0,0,1,0,0,-1,0,4,3,7,"mixed"
"CC: azurophil granule membrane",0,1,0,-1,0,0,1,0,0,1,0,0,1,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"CC: cation channel complex",0,0,0,1,0,-1,0,0,1,-1,0,0,0,1,1,0,0,0,0,0,-1,0,0,4,3,7,"mixed"
"CC: cis-Golgi network",0,1,0,0,0,1,1,0,0,1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,4,3,7,"mixed"
"CC: clathrin-coated vesicle membrane",0,1,0,0,0,1,1,0,0,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,4,3,7,"mixed"
"CC: endopeptidase complex",0,1,-1,-1,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,3,7,"mixed"
"CC: ficolin-1-rich granule",0,1,-1,-1,0,0,1,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"CC: neuron projection cytoplasm",0,1,-1,1,0,0,0,0,0,0,-1,0,0,1,0,1,-1,0,0,0,0,0,0,4,3,7,"mixed"
"CC: organelle outer membrane",0,1,0,0,0,0,1,1,0,1,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,4,3,7,"mixed"
"CC: phagocytic vesicle membrane",0,1,0,-1,0,0,1,0,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"MF: cadherin binding involved in cell-cell adhesion",0,1,0,-1,0,0,0,0,0,1,0,1,1,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"MF: cytoskeletal motor activity",0,0,0,0,0,0,0,0,0,1,1,0,1,0,-1,0,0,0,1,0,-1,-1,0,4,3,7,"mixed"
"MF: histone H3T6 kinase activity",1,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,-1,0,1,0,1,0,0,4,3,7,"mixed"
"MF: hydrolase activity, hydrolyzing O-glycosyl compounds",0,1,-1,-1,0,0,1,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"MF: kinase regulator activity",0,1,0,0,0,0,0,0,-1,1,0,-1,1,0,-1,1,0,0,0,0,0,0,0,4,3,7,"mixed"
"MF: laminin binding",0,0,0,-1,0,0,1,0,0,1,0,1,1,-1,-1,0,0,0,0,0,0,0,0,4,3,7,"mixed"
"MF: oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",-1,1,0,0,0,0,-1,0,0,0,-1,0,1,0,1,1,0,0,0,0,0,0,0,4,3,7,"mixed"
"MF: phosphatidylinositol phosphate binding",0,1,0,0,0,0,1,0,0,1,-1,0,0,0,-1,0,-1,0,0,0,1,0,0,4,3,7,"mixed"
"MF: potassium channel activity",0,0,0,1,0,-1,0,0,0,0,1,0,-1,1,1,0,0,0,0,0,-1,0,0,4,3,7,"mixed"
"MF: protein-hormone receptor activity",0,-1,0,0,0,1,0,0,0,0,1,1,0,0,-1,0,0,0,1,0,-1,0,0,4,3,7,"mixed"
"MF: vitamin binding",0,1,0,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,0,0,-1,-1,0,4,3,7,"mixed"
"MF: voltage-gated monoatomic cation channel activity",0,0,0,1,0,0,0,0,0,-1,1,0,-1,1,1,-1,0,0,0,0,0,0,0,4,3,7,"mixed"
"BP: SMAD protein signal transduction",0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: alcohol metabolic process",-1,1,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,3,4,7,"mixed"
"BP: antigen processing and presentation of peptide antigen via MHC class I",0,0,0,-1,0,0,0,0,1,1,1,0,0,-1,-1,0,0,0,0,-1,0,0,0,3,4,7,"mixed"
"BP: branching involved in salivary gland morphogenesis",0,0,0,-1,0,0,1,0,0,0,0,1,1,0,-1,0,-1,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: cardiac ventricle morphogenesis",0,0,0,-1,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,0,-1,-1,0,3,4,7,"mixed"
"BP: cell fate specification",0,-1,0,-1,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: cellular response to BMP stimulus",0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: cellular response to external stimulus",0,0,0,-1,0,-1,1,0,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: cellular response to mechanical stimulus",0,0,0,-1,0,-1,1,0,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: cellular response to topologically incorrect protein",0,0,0,0,0,0,0,1,0,1,-1,0,-1,-1,0,0,-1,0,0,0,1,0,0,3,4,7,"mixed"
"BP: collagen biosynthetic process",0,0,0,-1,0,-1,1,0,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: cytoskeleton-dependent cytokinesis",0,0,-1,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,-1,-1,0,3,4,7,"mixed"
"BP: dendrite morphogenesis",0,0,0,1,0,0,1,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: diencephalon development",0,0,0,-1,0,0,0,0,0,-1,1,0,1,0,-1,0,0,0,0,0,-1,0,1,3,4,7,"mixed"
"BP: dorsal/ventral pattern formation",0,0,0,-1,0,0,0,0,0,-1,1,1,1,0,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: establishment of protein localization to vacuole",0,0,-1,0,0,0,1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,1,1,0,3,4,7,"mixed"
"BP: glycolipid catabolic process",0,1,-1,-1,0,0,1,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: heart valve morphogenesis",0,0,0,-1,0,0,0,0,-1,0,1,1,0,0,-1,0,0,0,0,0,0,-1,1,3,4,7,"mixed"
"BP: immune system development",0,-1,0,-1,0,0,-1,0,0,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: immunoglobulin mediated immune response",0,0,0,-1,0,0,0,0,0,1,1,0,1,0,-1,-1,0,0,0,-1,0,0,0,3,4,7,"mixed"
"BP: kidney morphogenesis",0,0,0,-1,0,0,1,0,0,-1,1,0,1,-1,-1,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: lens development in camera-type eye",0,0,0,-1,0,0,0,0,0,0,1,1,1,-1,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: leukocyte mediated cytotoxicity",0,0,0,-1,0,0,1,0,0,1,1,0,0,0,-1,-1,0,0,0,-1,0,0,0,3,4,7,"mixed"
"BP: lung alveolus development",0,0,0,-1,0,-1,0,0,0,1,1,0,0,0,-1,0,-1,1,0,0,0,0,0,3,4,7,"mixed"
"BP: maturation of SSU-rRNA",0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,1,1,0,3,4,7,"mixed"
"BP: meiotic spindle organization",0,0,0,0,1,0,-1,0,0,0,0,0,1,0,-1,0,1,0,0,0,-1,-1,0,3,4,7,"mixed"
"BP: membrane lipid catabolic process",0,1,-1,-1,0,0,1,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: methylation",0,-1,0,0,0,0,-1,0,-1,0,-1,0,1,0,0,0,1,0,0,0,1,0,0,3,4,7,"mixed"
"BP: mitotic cytokinesis",0,0,-1,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,-1,-1,0,3,4,7,"mixed"
"BP: nephron epithelium development",0,0,0,-1,0,-1,1,0,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: positive regulation of DNA-templated transcription initiation",0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,1,1,0,3,4,7,"mixed"
"BP: positive regulation of SMAD protein signal transduction",0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,-1,-1,0,3,4,7,"mixed"
"BP: positive regulation of epithelial to mesenchymal transition",0,0,0,-1,0,-1,0,0,0,0,1,1,1,0,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: positive regulation of leukocyte mediated immunity",0,0,0,-1,0,0,0,0,0,1,1,0,1,0,-1,-1,0,0,0,-1,0,0,0,3,4,7,"mixed"
"BP: protein maturation",0,1,0,-1,0,-1,1,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,3,4,7,"mixed"
"BP: reciprocal homologous recombination",0,0,0,0,0,0,-1,0,0,0,1,0,1,1,-1,0,0,0,0,0,-1,-1,0,3,4,7,"mixed"
"BP: reciprocal meiotic recombination",0,0,0,0,0,0,-1,0,0,0,1,0,1,1,-1,0,0,0,0,0,-1,-1,0,3,4,7,"mixed"
"BP: regulation of DNA recombination",0,-1,0,0,0,0,-1,0,-1,0,0,-1,1,1,0,0,0,0,1,0,0,0,0,3,4,7,"mixed"
"BP: regulation of DNA-templated transcription elongation",0,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,1,1,0,3,4,7,"mixed"
"BP: regulation of SMAD protein signal transduction",0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: regulation of cartilage development",0,0,0,-1,0,0,0,0,0,1,1,0,1,-1,-1,0,0,0,0,0,0,-1,0,3,4,7,"mixed"
"BP: regulation of cell-substrate junction organization",0,0,0,-1,0,0,0,0,-1,1,0,0,1,0,-1,0,-1,0,0,0,0,0,1,3,4,7,"mixed"
"BP: regulation of neural precursor cell proliferation",0,0,0,-1,0,0,0,0,0,-1,1,1,1,0,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: regulation of ossification",0,0,0,-1,0,0,0,0,0,1,1,0,1,0,-1,0,0,0,0,0,-1,-1,0,3,4,7,"mixed"
"BP: regulation of proteasomal protein catabolic process",0,0,-1,0,0,0,0,0,0,0,-1,-1,1,0,-1,1,0,0,0,0,1,0,0,3,4,7,"mixed"
"BP: regulation of proteasomal ubiquitin-dependent protein catabolic process",0,0,-1,0,0,0,0,0,0,0,-1,-1,1,0,-1,1,0,0,0,0,1,0,0,3,4,7,"mixed"
"BP: regulation of protein serine/threonine kinase activity",0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,-1,0,-1,0,0,0,0,0,0,3,4,7,"mixed"
"BP: regulation of proteolysis involved in protein catabolic process",0,0,-1,0,0,0,0,0,0,0,-1,-1,1,0,-1,1,0,0,0,0,1,0,0,3,4,7,"mixed"
"BP: regulation of reproductive process",0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: regulation of signal transduction by p53 class mediator",0,-1,0,-1,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,1,1,0,3,4,7,"mixed"
"BP: regulation of small molecule metabolic process",0,1,0,-1,0,0,0,0,-1,1,0,0,1,-1,0,0,0,0,0,0,0,-1,0,3,4,7,"mixed"
"BP: regulation of synaptic transmission, glutamatergic",0,0,0,1,0,0,1,0,0,0,0,-1,-1,1,0,0,-1,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: regulation of transcription elongation by RNA polymerase II",0,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,1,1,0,3,4,7,"mixed"
"BP: regulation of ubiquitin-dependent protein catabolic process",0,0,-1,0,0,0,0,0,-1,0,-1,-1,1,0,0,1,0,0,0,0,1,0,0,3,4,7,"mixed"
"BP: regulation of vascular associated smooth muscle cell proliferation",0,0,0,-1,0,0,0,0,0,1,1,0,1,-1,-1,0,-1,0,0,0,0,0,0,3,4,7,"mixed"
"BP: response to BMP",0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: stem cell proliferation",0,0,0,-1,0,-1,0,0,0,0,1,1,1,0,-1,0,0,0,0,0,-1,0,0,3,4,7,"mixed"
"BP: tRNA aminoacylation for protein translation",0,0,0,0,0,1,0,0,0,0,-1,0,-1,1,-1,0,0,0,0,0,1,0,-1,3,4,7,"mixed"
"BP: transcription elongation by RNA polymerase II",0,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,0,1,1,0,3,4,7,"mixed"
"BP: viral genome replication",0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-1,-1,3,4,7,"mixed"
"CC: axon cytoplasm",0,1,-1,1,0,0,0,0,0,0,-1,0,0,1,0,0,-1,-1,0,0,0,0,0,3,4,7,"mixed"
"CC: chromocenter",0,-1,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,-1,-1,0,3,4,7,"mixed"
"CC: cytoplasmic ribonucleoprotein granule",1,-1,0,0,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,3,4,7,"mixed"
"CC: intercalated disc",0,0,0,0,0,0,0,0,0,1,0,1,1,0,-1,0,-1,0,0,0,-1,-1,0,3,4,7,"mixed"
"CC: ribonucleoprotein granule",1,-1,0,0,0,0,-1,0,-1,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,3,4,7,"mixed"
"MF: ATP-dependent H2AZ histone chaperone activity",0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,1,0,1,0,0,3,4,7,"mixed"
"MF: ATP-dependent H3-H4 histone complex chaperone activity",0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,1,0,1,0,0,3,4,7,"mixed"
"MF: ATP-dependent activity, acting on RNA",0,-1,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,0,0,0,0,0,1,1,0,3,4,7,"mixed"
"MF: ATP-dependent chromatin remodeler activity",0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,1,0,1,0,0,3,4,7,"mixed"
"MF: ATP-dependent histone chaperone activity",0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,1,0,1,0,0,3,4,7,"mixed"
"MF: DNA clamp loader activity",0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,1,0,1,0,0,3,4,7,"mixed"
"MF: DNA translocase activity",0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,1,0,1,0,0,3,4,7,"mixed"
"MF: H3-H4 histone complex chaperone activity",0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,1,0,1,0,0,3,4,7,"mixed"
"MF: aminoacyl-tRNA ligase activity",0,0,0,0,0,1,0,0,0,0,-1,0,-1,1,-1,0,0,0,0,0,1,0,-1,3,4,7,"mixed"
"MF: chromatin extrusion motor activity",0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,1,0,1,0,0,3,4,7,"mixed"
"MF: cohesin loader activity",0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,1,0,1,0,0,3,4,7,"mixed"
"MF: hormone activity",0,0,0,-1,0,-1,0,0,0,1,1,0,0,0,-1,0,0,1,-1,0,0,0,0,3,4,7,"mixed"
"MF: ligase activity, forming carbon-oxygen bonds",0,0,0,0,0,1,0,0,0,0,-1,0,-1,1,-1,0,0,0,0,0,1,0,-1,3,4,7,"mixed"
"MF: proton transmembrane transporter activity",-1,1,0,0,0,-1,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,-1,0,3,4,7,"mixed"
"MF: serine-type endopeptidase inhibitor activity",0,1,0,-1,0,-1,0,0,0,1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,3,4,7,"mixed"
"BP: ATP metabolic process",-1,1,0,0,0,-1,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,2,5,7,"mixed"
"BP: MHC protein complex assembly",0,0,0,-1,0,0,0,0,0,1,1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,2,5,7,"mixed"
"BP: NADH dehydrogenase complex assembly",-1,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,1,0,0,0,0,1,0,-1,0,2,5,7,"mixed"
"BP: artery morphogenesis",0,0,0,-1,0,0,0,0,0,0,1,0,1,0,-1,0,-1,0,0,0,-1,-1,0,2,5,7,"mixed"
"BP: carbohydrate catabolic process",0,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,0,0,-1,0,-1,0,2,5,7,"mixed"
"BP: cytoplasmic translational initiation",0,-1,0,0,-1,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,2,5,7,"mixed"
"BP: development of primary sexual characteristics",0,0,0,-1,0,-1,-1,0,0,0,1,0,1,0,-1,0,0,0,0,0,-1,0,0,2,5,7,"mixed"
"BP: ear morphogenesis",0,0,0,-1,0,0,0,0,0,-1,1,0,1,-1,-1,0,0,0,0,0,-1,0,0,2,5,7,"mixed"
"BP: embryonic digit morphogenesis",0,0,0,-1,0,0,-1,0,0,-1,1,0,1,0,0,0,0,0,0,0,-1,-1,0,2,5,7,"mixed"
"BP: embryonic heart tube morphogenesis",0,0,0,-1,0,0,-1,0,0,-1,1,0,1,-1,0,0,0,0,0,0,0,-1,0,2,5,7,"mixed"
