"term","ontology","ID","Description","sig_count","up_count","down_count","mean_NES","sd_NES","mean_up_NES","sd_up_NES","mean_down_NES","sd_down_NES","consensus"
"BP: regulation of membrane repolarization","BP","GO:0060306","regulation of membrane repolarization",3,2,1,0.59548799220046,1.90760635924796,1.69532133870794,0.14185803871275,-1.60417870081451,NA,"mixed"
"BP: myoblast differentiation","BP","GO:0045445","myoblast differentiation",3,1,2,-0.495485112090244,1.89704580802979,1.69495835681209,NA,-1.59070684654141,0.0223988803606904,"mixed"
"BP: face morphogenesis","BP","GO:0060325","face morphogenesis",3,2,1,0.485048971822012,2.09575292114826,1.69436859440257,0.0981677933568714,-1.93359027333911,NA,"mixed"
"BP: protein localization to cell cortex","BP","GO:0072697","protein localization to cell cortex",3,1,2,-0.660286237679394,2.03877978137421,1.6938147260834,NA,-1.83733671956079,0.0236425992054161,"mixed"
"BP: multicellular organismal response to stress","BP","GO:0033555","multicellular organismal response to stress",3,2,1,0.555281493668563,1.97272767941548,1.69372226380513,0.0838133140326096,-1.72160004660457,NA,"mixed"
"BP: regulation of hair cycle","BP","GO:0042634","regulation of hair cycle",3,3,0,1.6928578057048,0.090405128006523,1.6928578057048,0.090405128006523,NA,NA,"up"
"BP: aldehyde metabolic process","BP","GO:0006081","aldehyde metabolic process",3,3,0,1.69262408999083,0.221455078165694,1.69262408999083,0.221455078165694,NA,NA,"up"
"BP: vacuolar acidification","BP","GO:0007035","vacuolar acidification",3,2,1,0.541249840340574,1.99341340024136,1.69186035272531,0.0629814358525829,-1.7599711844289,NA,"mixed"
"CC: ciliary tip","CC","GO:0097542","ciliary tip",3,2,1,0.485480568914015,2.08911314919541,1.69163019480515,0.00244541577554849,-1.92681868286826,NA,"mixed"
"BP: blastocyst formation","BP","GO:0001825","blastocyst formation",3,1,2,-0.565894502284931,1.95695715311582,1.68959895770261,NA,-1.6936412322787,0.16877937134777,"mixed"
"BP: lipid modification","BP","GO:0030258","lipid modification",3,2,1,0.570243953320926,1.9451639248176,1.68901153378102,0.239749857752704,-1.66729120759926,NA,"mixed"
"BP: acylglycerol metabolic process","BP","GO:0006639","acylglycerol metabolic process",3,3,0,1.68892476910406,0.177555812494348,1.68892476910406,0.177555812494348,NA,NA,"up"
"BP: regulation of DNA damage response, signal transduction by p53 class mediator","BP","GO:0043516","regulation of DNA damage response, signal transduction by p53 class mediator",3,1,2,-0.531075461404389,1.92479570902686,1.68831866925685,NA,-1.64077252673501,0.145298252419198,"mixed"
"BP: positive regulation of biomineral tissue development","BP","GO:0070169","positive regulation of biomineral tissue development",3,2,1,0.430588845656828,2.17952476098072,1.68825057712585,0.101873365734777,-2.08473461728122,NA,"mixed"
"BP: Schwann cell differentiation","BP","GO:0014037","Schwann cell differentiation",3,2,1,0.540157373559962,1.98910987617032,1.68799140301338,0.0893221357169681,-1.75551068534686,NA,"mixed"
"CC: platelet dense tubular network","CC","GO:0031094","platelet dense tubular network",3,2,1,0.535124463741954,1.99610858924967,1.68756788982578,0.011995757986814,-1.7697623884257,NA,"mixed"
"MF: 4 iron, 4 sulfur cluster binding","MF","GO:0051539","4 iron, 4 sulfur cluster binding",3,1,2,-0.64258385027912,2.01929582967445,1.6872600485906,NA,-1.80750579971398,0.113368451654626,"mixed"
"BP: regulation of myoblast fusion","BP","GO:1901739","regulation of myoblast fusion",3,3,0,1.68688658584226,0.0168615873194096,1.68688658584226,0.0168615873194096,NA,NA,"up"
"BP: vascular associated smooth muscle cell differentiation","BP","GO:0035886","vascular associated smooth muscle cell differentiation",3,1,2,-0.578692348636388,1.96219458093296,1.68664374263336,NA,-1.71136039427126,0.0528558158705119,"mixed"
"MF: SMAD binding","MF","GO:0046332","SMAD binding",3,2,1,0.463821339519951,2.11781664803557,1.68645619524286,0.0357598492976892,-1.98144837192586,NA,"mixed"
"BP: regulation of protein localization to cell periphery","BP","GO:1904375","regulation of protein localization to cell periphery",3,2,1,0.639502904447114,1.81420232426431,1.68582787495153,0.117832437493693,-1.45314703656171,NA,"mixed"
"BP: protein localization to centrosome","BP","GO:0071539","protein localization to centrosome",3,1,2,-0.73447283808626,2.09695716028454,1.68564992675922,NA,-1.944534220509,0.0946961918571676,"mixed"
