"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_LMN_FA2_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Erwin_0.05_all_genes.rds"
"BP: positive regulation of DNA binding",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of DNA biosynthetic process",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of DNA damage response, signal transduction by p53 class mediator",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of DNA metabolic process",0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0
"BP: positive regulation of DNA recombination",0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"BP: positive regulation of DNA repair",0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"BP: positive regulation of DNA replication",0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"BP: positive regulation of DNA-binding transcription factor activity",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
"BP: positive regulation of DNA-templated DNA replication",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of DNA-templated transcription initiation",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
"BP: positive regulation of DNA-templated transcription, elongation",0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"BP: positive regulation of ERAD pathway",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of ERBB signaling pathway",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of ERK1 and ERK2 cascade",0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0
"BP: positive regulation of G protein-coupled receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of G1/S transition of mitotic cell cycle",1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"BP: positive regulation of G2/M transition of mitotic cell cycle",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of GTPase activity",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"BP: positive regulation of JNK cascade",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"BP: positive regulation of MAP kinase activity",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"BP: positive regulation of MAPK cascade",0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0
"BP: positive regulation of NF-kappaB transcription factor activity",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"BP: positive regulation of Notch signaling pathway",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of RIG-I signaling pathway",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BP: positive regulation of RNA splicing",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"BP: positive regulation of Rac protein signal transduction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: positive regulation of Ras protein signal transduction",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of Rho protein signal transduction",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of SMAD protein signal transduction",0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"BP: positive regulation of T cell activation",0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1
"BP: positive regulation of T cell apoptotic process",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of T cell chemotaxis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of T cell cytokine production",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"BP: positive regulation of T cell differentiation",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: positive regulation of T cell mediated cytotoxicity",1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of T cell mediated immunity",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: positive regulation of T cell migration",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of T cell proliferation",0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"BP: positive regulation of T cell receptor signaling pathway",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of T-helper 1 type immune response",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of T-helper 17 cell differentiation",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BP: positive regulation of T-helper 17 type immune response",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of T-helper cell differentiation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of TOR signaling",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of TORC1 signaling",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"BP: positive regulation of Wnt signaling pathway",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"BP: positive regulation of actin filament bundle assembly",0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
"BP: positive regulation of actin filament depolymerization",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of actin filament polymerization",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of acute inflammatory response",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of adaptive immune response",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: positive regulation of alcohol biosynthetic process",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: positive regulation of alpha-beta T cell activation",0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"BP: positive regulation of alpha-beta T cell differentiation",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"BP: positive regulation of alpha-beta T cell proliferation",0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
"BP: positive regulation of amine transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"BP: positive regulation of amino acid transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"BP: positive regulation of angiogenesis",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0
"BP: positive regulation of animal organ morphogenesis",0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: positive regulation of antigen receptor-mediated signaling pathway",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of apoptotic process",0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
"BP: positive regulation of apoptotic signaling pathway",0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
"BP: positive regulation of astrocyte differentiation",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of attachment of spindle microtubules to kinetochore",0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of autophagy",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BP: positive regulation of autophagy of mitochondrion",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of axonogenesis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of bicellular tight junction assembly",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of binding",0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"BP: positive regulation of biomineral tissue development",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of blood circulation",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: positive regulation of blood coagulation",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"BP: positive regulation of blood pressure",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of blood vessel endothelial cell migration",0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"BP: positive regulation of bone mineralization",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of bone resorption",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of branching involved in ureteric bud morphogenesis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of brown fat cell differentiation",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BP: positive regulation of calcineurin-NFAT signaling cascade",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of calcineurin-mediated signaling",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of calcium ion import",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: positive regulation of calcium ion transmembrane transport",0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of calcium ion transmembrane transporter activity",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BP: positive regulation of calcium ion transport",0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
"BP: positive regulation of calcium ion-dependent exocytosis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"BP: positive regulation of calcium-mediated signaling",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
"BP: positive regulation of canonical NF-kappaB signal transduction",0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
"BP: positive regulation of canonical Wnt signaling pathway",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"BP: positive regulation of carbohydrate metabolic process",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of cardiac muscle cell proliferation",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: positive regulation of cardiac muscle hypertrophy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: positive regulation of cardiac muscle tissue growth",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"BP: positive regulation of cardiocyte differentiation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of cartilage development",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: positive regulation of catabolic process",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BP: positive regulation of catalytic activity",0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0
"BP: positive regulation of cation channel activity",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of cation transmembrane transport",0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of cell activation",0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1
"BP: positive regulation of cell adhesion",0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
"BP: positive regulation of cell adhesion mediated by integrin",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"BP: positive regulation of cell cycle",1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0
"BP: positive regulation of cell cycle G1/S phase transition",1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"BP: positive regulation of cell cycle G2/M phase transition",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"BP: positive regulation of cell cycle checkpoint",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"BP: positive regulation of cell cycle phase transition",0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0
"BP: positive regulation of cell cycle process",1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0
"BP: positive regulation of cell development",0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0
"BP: positive regulation of cell division",0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
"BP: positive regulation of cell junction assembly",0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"BP: positive regulation of cell killing",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"BP: positive regulation of cell migration",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
"BP: positive regulation of cell migration involved in sprouting angiogenesis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of cell morphogenesis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of cell motility",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BP: positive regulation of cell projection organization",0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1
"BP: positive regulation of cell size",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: positive regulation of cell-cell adhesion",0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1
"BP: positive regulation of cell-cell adhesion mediated by cadherin",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of cell-matrix adhesion",0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
"BP: positive regulation of cell-substrate adhesion",0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
"BP: positive regulation of cell-substrate junction organization",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of cellular component biogenesis",0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0
"BP: positive regulation of cellular respiration",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"BP: positive regulation of cellular response to transforming growth factor beta stimulus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of chemokine (C-X-C motif) ligand 2 production",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"BP: positive regulation of chemokine production",0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0
"BP: positive regulation of chemotaxis",0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0
"BP: positive regulation of cholesterol efflux",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BP: positive regulation of cholesterol metabolic process",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of cholesterol transport",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"BP: positive regulation of chondrocyte differentiation",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of chromosome organization",0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
"BP: positive regulation of chromosome segregation",0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0
"BP: positive regulation of chromosome separation",0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0
"BP: positive regulation of cilium movement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: positive regulation of coagulation",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of cold-induced thermogenesis",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of collagen biosynthetic process",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of collagen metabolic process",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of cyclin-dependent protein kinase activity",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of cyclin-dependent protein serine/threonine kinase activity",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of cytokine production",0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0
"BP: positive regulation of cytokine production involved in immune response",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
"BP: positive regulation of cytokine production involved in inflammatory response",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of cytokine-mediated signaling pathway",0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
"BP: positive regulation of cytokinesis",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"BP: positive regulation of cytoplasmic translation",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of cytoskeleton organization",0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0
"BP: positive regulation of cytosolic calcium ion concentration",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of defense response",0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
"BP: positive regulation of defense response to bacterium",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of defense response to virus by host",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of dendrite extension",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of dendrite morphogenesis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of dendritic spine development",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"BP: positive regulation of dendritic spine morphogenesis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BP: positive regulation of developmental growth",0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
"BP: positive regulation of digestive system process",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of double-strand break repair",0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"BP: positive regulation of double-strand break repair via homologous recombination",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"BP: positive regulation of double-strand break repair via nonhomologous end joining",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of endocytosis",0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
"BP: positive regulation of endopeptidase activity",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BP: positive regulation of endothelial cell apoptotic process",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of endothelial cell chemotaxis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: positive regulation of endothelial cell differentiation",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of endothelial cell migration",0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0
"BP: positive regulation of endothelial cell proliferation",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: positive regulation of epidermal cell differentiation",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of epidermal growth factor receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: positive regulation of epidermis development",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of epithelial cell differentiation",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: positive regulation of epithelial cell migration",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of epithelial cell proliferation",0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
"BP: positive regulation of epithelial to mesenchymal transition",0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
"BP: positive regulation of erythrocyte differentiation",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"BP: positive regulation of establishment of protein localization",0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
"BP: positive regulation of establishment of protein localization to mitochondrion",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"BP: positive regulation of excitatory postsynaptic potential",0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
"BP: positive regulation of execution phase of apoptosis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of exocytosis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of extracellular matrix organization",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"BP: positive regulation of extrinsic apoptotic signaling pathway",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
"BP: positive regulation of extrinsic apoptotic signaling pathway in absence of ligand",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"BP: positive regulation of fat cell differentiation",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"BP: positive regulation of fatty acid beta-oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BP: positive regulation of fatty acid biosynthetic process",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of fatty acid metabolic process",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BP: positive regulation of fatty acid oxidation",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of fatty acid transport",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of fibroblast migration",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"BP: positive regulation of fibroblast proliferation",0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: positive regulation of filopodium assembly",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of focal adhesion assembly",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of gene expression, epigenetic",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"BP: positive regulation of glial cell differentiation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of glial cell proliferation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of gliogenesis",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
"BP: positive regulation of glycolytic process",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of granulocyte chemotaxis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of granulocyte macrophage colony-stimulating factor production",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of growth",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: positive regulation of hair follicle development",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of heart contraction",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: positive regulation of heart growth",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"BP: positive regulation of heat generation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of hemopoiesis",0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0
"BP: positive regulation of hemostasis",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"BP: positive regulation of homotypic cell-cell adhesion",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of hormone metabolic process",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of hormone secretion",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of humoral immune response",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of hydrolase activity",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"BP: positive regulation of icosanoid secretion",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of immune effector process",0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1
"BP: positive regulation of immune response",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: positive regulation of inflammatory response",0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0
"BP: positive regulation of inflammatory response to antigenic stimulus",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BP: positive regulation of innate immune response",0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0
"BP: positive regulation of inositol phosphate biosynthetic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of insulin-like growth factor receptor signaling pathway",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: positive regulation of integrin activation",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of integrin-mediated signaling pathway",0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
"BP: positive regulation of interferon-alpha production",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of interferon-beta production",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: positive regulation of interleukin-1 beta production",0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"BP: positive regulation of interleukin-1 production",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"BP: positive regulation of interleukin-10 production",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of interleukin-12 production",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
"BP: positive regulation of interleukin-13 production",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: positive regulation of interleukin-17 production",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
