"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_LMN_FA2_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Erwin_0.05_all_genes.rds"
"BP: G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: G protein-coupled serotonin receptor signaling pathway",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"BP: G0 to G1 transition",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"BP: G1 to G0 transition",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: G1/S transition of mitotic cell cycle",1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"BP: G2/M transition of mitotic cell cycle",0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0
"BP: GABAergic neuron differentiation",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"BP: GDP-mannose metabolic process",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"BP: GMP biosynthetic process",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: GMP metabolic process",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: GPI anchor biosynthetic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"BP: GPI anchor metabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"BP: GPI anchored protein biosynthesis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"BP: GTP metabolic process",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: Golgi lumen acidification",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"BP: Golgi organization",0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0
"BP: Golgi ribbon formation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: Golgi to endosome transport",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: Golgi to plasma membrane protein transport",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: Golgi to plasma membrane transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BP: Golgi to vacuole transport",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: Golgi vesicle budding",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: Golgi vesicle transport",0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1
"BP: I-kappaB phosphorylation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: IMP biosynthetic process",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: IRE1-mediated unfolded protein response",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: IRES-dependent viral translational initiation",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: JNK cascade",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"BP: Kit signaling pathway",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"BP: L-alpha-amino acid transmembrane transport",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: L-amino acid biosynthetic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: L-amino acid catabolic process",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: L-amino acid metabolic process",1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"BP: L-amino acid transport",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: L-aspartate transmembrane transport",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: L-glutamate import",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: L-glutamate import across plasma membrane",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: L-glutamate transmembrane transport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: L-leucine transport",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: L-serine metabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: L-tryptophan metabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: MDA-5 signaling pathway",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: MHC class II protein complex assembly",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1
"BP: MHC protein complex assembly",0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1
"BP: MyD88-dependent toll-like receptor signaling pathway",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"BP: MyD88-independent toll-like receptor signaling pathway",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: N-acetylglucosamine metabolic process",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"BP: N-acetylneuraminate metabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: N-glycan processing",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: NAD biosynthetic process",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: NAD metabolic process",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: NADH dehydrogenase complex assembly",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"BP: NADH metabolic process",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: NADH oxidation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: NADP metabolic process",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"BP: NADPH regeneration",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BP: NK T cell activation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: NK T cell differentiation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: NLRP3 inflammasome complex assembly",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: NLS-bearing protein import into nucleus",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"BP: Notch receptor processing",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: Notch signaling pathway",0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"BP: O-glycan processing",0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
"BP: P-body assembly",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"BP: PERK-mediated unfolded protein response",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: RIG-I signaling pathway",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"BP: RISC complex assembly",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: RNA 3'-end processing",0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
"BP: RNA 5'-end processing",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: RNA capping",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: RNA catabolic process",0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
"BP: RNA destabilization",0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
"BP: RNA export from nucleus",0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0
"BP: RNA localization",0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0
"BP: RNA localization to Cajal body",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"BP: RNA localization to nucleus",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"BP: RNA methylation",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"BP: RNA modification",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"BP: RNA polymerase II preinitiation complex assembly",0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"BP: RNA splicing",1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0
"BP: RNA splicing, via transesterification reactions",1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0
"BP: RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0
"BP: RNA stabilization",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
