dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Lai_CNS,DYNC1I2,DYNC1I2,2,codingPotential; domain_identified,0.10836666666666667,0.03789059937609185
Lai_CNS,PDHB,PDHB,1,IR,0.12190000000000006,0.041851492533598704
Lai_CNS,DUS3L,DUS3L,3,codingPotential; domain_identified; PTC,0.2858,0.04207374782239365
Lai_CNS,XBP1,XBP1,1,IR,0.20433333333333326,0.043313321293431475
Lai_CNS,MRPL43,MRPL43,1,IR,0.24873333333333325,0.04410250826342475
Lai_CNS,UBR2,UBR2,2,codingPotential; domain_identified,0.1213,0.04491061689489155
Lai_CNS,DTNB,DTNB,2,codingPotential; domain_identified,0.28783333333333333,0.04769145381722564
Lai_CNS,USP38,USP38,1,PTC,0.16876666666666668,0.04769858194477474
Lai_CNS,APOLD1,APOLD1,3,codingPotential; domain_identified; PTC,0.20046666666666668,0.04826618238531879
Lai_CNS,GFOD2,GFOD2,2,codingPotential; domain_identified,0.1776666666666667,0.0488962615342908
Lai_CNS,TDRKH,TDRKH,2,IR; PTC,0.15543333333333334,0.049453568089656404
