gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00025217,PSPC1,PSPC1,Control,FRDA,0.016037746292806083,416
geneComp_00021270,MAST2,MAST2,Control,FRDA,0.01681243381033859,417
geneComp_00021376,MDM4,MDM4,Control,FRDA,0.0168987879265808,418
geneComp_00022878,NOL10,NOL10,Control,FRDA,0.01736579292904515,419
geneComp_00022944,NPDC1,NPDC1,Control,FRDA,0.01736579292904515,420
geneComp_00015878,EPN2,EPN2,Control,FRDA,0.017645872386604554,421
geneComp_00003710,CRCP,CRCP,Control,FRDA,0.01802685655418415,422
geneComp_00028369,SGIP1,SGIP1,Control,FRDA,0.018361232676445027,423
geneComp_00033026,ZNF394,ZNF394,Control,FRDA,0.01839936290591855,424
geneComp_00033112,ZNF506,ZNF506,Control,FRDA,0.01880418613347708,425
geneComp_00017990,HERC2P9,HERC2P9,Control,FRDA,0.018837358466098537,426
geneComp_00021934,MRPL30,MRPL30,Control,FRDA,0.018914638489266295,427
geneComp_00027955,SBDSP1,SBDSP1,Control,FRDA,0.019408944371829388,428
geneComp_00016478,FCGRT,FCGRT,Control,FRDA,0.01967637894591469,429
geneComp_00031802,UBE2L6,UBE2L6,Control,FRDA,0.019733815991959943,430
geneComp_00030176,TAFAZZIN,TAFAZZIN,Control,FRDA,0.01984732812700326,431
geneComp_00026930,RP9P,RP9P,Control,FRDA,0.020027317830517356,432
geneComp_00028365,SGCE,SGCE,Control,FRDA,0.021315566149719457,433
geneComp_00030251,TBC1D17,TBC1D17,Control,FRDA,0.021341651794789064,434
geneComp_00016639,FLOT1,FLOT1,Control,FRDA,0.021395974420048623,435
geneComp_00031227,TPP1,TPP1,Control,FRDA,0.021522066966766347,436
geneComp_00017926,HDAC3,HDAC3,Control,FRDA,0.021634064591367984,437
geneComp_00004047,CYTOR,CYTOR,Control,FRDA,0.021975461009450806,438
geneComp_00028533,SKAP2,SKAP2,Control,FRDA,0.02255830683448827,439
geneComp_00024465,PLK4,PLK4,Control,FRDA,0.02260526721049712,440
geneComp_00020774,LONRF2,LONRF2,Control,FRDA,0.02264484735640063,441
geneComp_00001561,BARD1,BARD1,Control,FRDA,0.022941888237981607,442
geneComp_00011663,ENSG00000291224.2,NA,Control,FRDA,0.023845533594288464,443
geneComp_00021300,MBD5,MBD5,Control,FRDA,0.023942120058250506,444
geneComp_00032107,VAV2,VAV2,Control,FRDA,0.024308120323609194,445
geneComp_00033350,ZNF781,ZNF781,Control,FRDA,0.024308120323609194,446
geneComp_00024089,PGAP3,PGAP3,Control,FRDA,0.02448465055219405,447
