"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"KCNAB2","KCNAB2","ENST00000662363","Control","FRDA",0.1299,0.25364,0.12374,0.017392646139977,"Higher in FRDA"
"CRYAB","CRYAB","ENST00000651164","Control","FRDA",0,0.1073,0.1073,0.0179400121336435,"Higher in FRDA"
"CAB39L","CAB39L","ENST00000409308","Control","FRDA",0.90612,0.75142,-0.1547,0.0179801698881664,"Higher in Control"
"FN1","FN1","ENST00000443816","Control","FRDA",0.16226,0.31054,0.14828,0.0179801698881664,"Higher in FRDA"
"CAB39L","CAB39L","ENST00000355854","Control","FRDA",0.07022,0.19764,0.12742,0.0192658807503221,"Higher in FRDA"
"LINC00616","LINC00616","ENST00000731865","Control","FRDA",0.11114,0.37672,0.26558,0.0195910662970713,"Higher in FRDA"
"ZNF619","ZNF619","ENST00000520737","Control","FRDA",0.06664,0.31982,0.25318,0.0214169296756061,"Higher in FRDA"
"ZNF575","ZNF575","ENST00000598080","Control","FRDA",0.0669,0.27694,0.21004,0.0217135908069738,"Higher in FRDA"
"ENSG00000260007.3",NA,"ENST00000562767","Control","FRDA",0.10962,0,-0.10962,0.0225281860326004,"Higher in Control"
"SYTL2","SYTL2","ENST00000359152","Control","FRDA",0.20082,0.0833,-0.11752,0.0225281860326004,"Higher in Control"
"RCC1","RCC1","ENST00000683442","Control","FRDA",0.18794,0.30288,0.11494,0.0238010019820169,"Higher in FRDA"
"SLFN13","SLFN13","ENST00000530782","Control","FRDA",0.03954,0.23646,0.19692,0.0238010921099289,"Higher in FRDA"
"KIF17","KIF17","ENST00000477167","Control","FRDA",0.02052,0.21028,0.18976,0.0243426989042261,"Higher in FRDA"
"CDKL3","CDKL3","ENST00000520592","Control","FRDA",0.51978,0.09646,-0.42332,0.0262291786907204,"Higher in Control"
"ENSG00000310323.1",NA,"ENST00000849063","Control","FRDA",0.18758,0.43782,0.25024,0.0265935496008792,"Higher in FRDA"
"TMEM229B","TMEM229B","ENST00000357461","Control","FRDA",0.97496,0.77114,-0.20382,0.0271114480661651,"Higher in Control"
"LINC01694","LINC01694","ENST00000424569","Control","FRDA",0.10498,0,-0.10498,0.0272175302282255,"Higher in Control"
"FN1","FN1","ENST00000354785","Control","FRDA",0.58784,0.47994,-0.1079,0.0273787968493002,"Higher in Control"
"AMN","AMN","ENST00000299155","Control","FRDA",0.31196,0.06452,-0.24744,0.0294255005379832,"Higher in Control"
"LINC03007","LINC03007","ENST00000812193","Control","FRDA",0.14384,0,-0.14384,0.0314550707449562,"Higher in Control"
"DCPS","DCPS","ENST00000530860","Control","FRDA",0,0.2281,0.2281,0.0329363945628624,"Higher in FRDA"
"RARB","RARB","ENST00000688892","Control","FRDA",0.52912,0.31516,-0.21396,0.0335183900841468,"Higher in Control"
"CFAP251","CFAP251","ENST00000545988","Control","FRDA",0.16742,0.02146,-0.14596,0.0375227055099927,"Higher in Control"
"CCDC169","CCDC169","ENST00000477250","Control","FRDA",0.33986,0.16066,-0.1792,0.0381606051784434,"Higher in Control"
