gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00002477,CBARP,CBARP,Control,FRDA,0.023989650918373715,457
geneComp_00000633,ALG10B,ALG10B,Control,FRDA,0.024042632795925282,458
geneComp_00022523,MRTFA,MRTFA,Control,FRDA,0.024042632795925282,459
geneComp_00022168,MIR181A2HG,MIR181A2HG,Control,FRDA,0.024286915779680875,460
geneComp_00023046,NCK1-DT,NCK1-DT,Control,FRDA,0.024299088280507707,461
geneComp_00024006,OSBPL10,OSBPL10,Control,FRDA,0.024352574327138016,462
geneComp_00003589,CNST,CNST,Control,FRDA,0.024461985951388068,463
geneComp_00003411,CLCN6,CLCN6,Control,FRDA,0.0247226138552058,464
geneComp_00001698,BCR,BCR,Control,FRDA,0.02482194419452428,465
geneComp_00016539,FAM182A,FAM182A,Control,FRDA,0.02482194419452428,466
geneComp_00021232,LMNTD2,LMNTD2,Control,FRDA,0.02482194419452428,467
geneComp_00026753,RNASET2,RNASET2,Control,FRDA,0.02482194419452428,468
geneComp_00026361,RBM48,RBM48,Control,FRDA,0.025483580006692003,469
geneComp_00019850,KNOP1,KNOP1,Control,FRDA,0.02564001353748286,470
geneComp_00031196,TTC7A,TTC7A,Control,FRDA,0.02577698661713571,471
geneComp_00029985,TDRKH-AS1,TDRKH-AS1,Control,FRDA,0.025972426027906594,472
geneComp_00001344,ATF7IP,ATF7IP,Control,FRDA,0.02609591726317282,473
geneComp_00016284,ERP44,ERP44,Control,FRDA,0.026824241407259003,474
geneComp_00020402,LINC00960,LINC00960,Control,FRDA,0.02725910189001261,475
geneComp_00019312,ITGA7,ITGA7,Control,FRDA,0.02744895894338878,476
geneComp_00024021,OSGEP,OSGEP,Control,FRDA,0.0276304562202063,477
geneComp_00007069,ENSG00000255508.7,NA,Control,FRDA,0.027818510389699114,478
geneComp_00018485,HMG20B,HMG20B,Control,FRDA,0.02820852457363204,479
geneComp_00018835,HYCC1,HYCC1,Control,FRDA,0.028267251747508812,480
geneComp_00002174,C4B,C4B,Control,FRDA,0.028368162823894438,481
geneComp_00016821,FCGRT,FCGRT,Control,FRDA,0.028429035442389276,482
geneComp_00018650,HPCAL1,HPCAL1,Control,FRDA,0.02847128962047384,483
geneComp_00026455,RELB,RELB,Control,FRDA,0.02847128962047384,484
