"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"CCDC183","CCDC183","ENST00000609471","Control","FRDA",0.668925,0.157625,-0.5113,0.000899786817309586,"Higher in Control"
"DNAJC6","DNAJC6","ENST00000371069","Control","FRDA",0.541575,0.268525,-0.27305,0.000977253680413484,"Higher in Control"
"RNF166","RNF166","ENST00000562499","Control","FRDA",0.01375,0.155725,0.141975,0.000991525953380725,"Higher in FRDA"
"USE1","USE1","ENST00000593597","Control","FRDA",0.029575,0.137625,0.10805,0.000991525953380725,"Higher in FRDA"
"EPB41","EPB41","ENST00000343067","Control","FRDA",0.711375,0.571625,-0.13975,0.00106662062917359,"Higher in Control"
"DGLUCY","DGLUCY","ENST00000518649","Control","FRDA",0.0228,0.1826,0.1598,0.00113300521531548,"Higher in FRDA"
"MSL1","MSL1","ENST00000577454","Control","FRDA",0.164225,0.28905,0.124825,0.0011561566296133,"Higher in FRDA"
"ZNF765","ZNF765","ENST00000396408","Control","FRDA",0.7615,0.573375,-0.188125,0.00120088135525622,"Higher in Control"
"BEND6","BEND6","ENST00000370745","Control","FRDA",0,0.338575,0.338575,0.00124609776776324,"Higher in FRDA"
"ESRRG","ESRRG","ENST00000408911","Control","FRDA",0.1265,0.4389,0.3124,0.00137728419814073,"Higher in FRDA"
"C2orf76","C2orf76","ENST00000409523","Control","FRDA",0.0162,0.157425,0.141225,0.00137750509558466,"Higher in FRDA"
"HIP1R","HIP1R","ENST00000253083","Control","FRDA",0.442875,0.544875,0.102,0.00138254161035336,"Higher in FRDA"
"PDCD2L","PDCD2L","ENST00000587385","Control","FRDA",0.037925,0.186475,0.14855,0.00141622107921445,"Higher in FRDA"
"SNRNP27","SNRNP27","ENST00000450162","Control","FRDA",0.341425,0.183425,-0.158,0.00141622107921445,"Higher in Control"
"CTSH","CTSH","ENST00000676850","Control","FRDA",0,0.234,0.234,0.00143904023734259,"Higher in FRDA"
"ATP6V1C1","ATP6V1C1","ENST00000521514","Control","FRDA",0.1636,0.280775,0.117175,0.00146009662307291,"Higher in FRDA"
"TFPT","TFPT","ENST00000391759","Control","FRDA",0.955575,0.4566,-0.498975,0.00147255388577699,"Higher in Control"
"KLHL13","KLHL13","ENST00000262820","Control","FRDA",0.3787,0.196525,-0.182175,0.00156391692485143,"Higher in Control"
"KAT2A","KAT2A","ENST00000465682","Control","FRDA",0.30635,0.507175,0.200825,0.00164849540496067,"Higher in FRDA"
"KIF21B","KIF21B","ENST00000360529","Control","FRDA",0.00355,0.10825,0.1047,0.00171629991162001,"Higher in FRDA"
"KIAA1671","KIAA1671","ENST00000358431","Control","FRDA",0.7573,0.469525,-0.287775,0.0017395668952714,"Higher in Control"
"NIP7","NIP7","ENST00000562523","Control","FRDA",0.00995,0.135,0.12505,0.00181851459940227,"Higher in FRDA"
"PCDHA7","PCDHA7","ENST00000356878","Control","FRDA",0.679075,0.875675,0.1966,0.00186877985798728,"Higher in FRDA"
"TMEM181","TMEM181","ENST00000684151","Control","FRDA",0.30015,0.50105,0.2009,0.00201794156590999,"Higher in FRDA"
"HRAS","HRAS","ENST00000493230","Control","FRDA",0.0464,0.152275,0.105875,0.00202916836871919,"Higher in FRDA"
"GRB2","GRB2","ENST00000392564","Control","FRDA",0.642575,0.411425,-0.23115,0.00203858388124287,"Higher in Control"
"ZNF185","ZNF185","ENST00000454925","Control","FRDA",0.7219,0.051975,-0.669925,0.00206978459622104,"Higher in Control"
"SOCS2-AS1","SOCS2-AS1","ENST00000754699","Control","FRDA",0,0.199675,0.199675,0.00208605586048676,"Higher in FRDA"
"FST","FST","ENST00000396947","Control","FRDA",0.0561,0.18645,0.13035,0.00212629977815846,"Higher in FRDA"
"KAT2A","KAT2A","ENST00000225916","Control","FRDA",0.597125,0.406975,-0.19015,0.00213180709380906,"Higher in Control"
"PCDHA7","PCDHA7","ENST00000525929","Control","FRDA",0.320925,0.124325,-0.1966,0.00215451374926952,"Higher in Control"
"TAGAP-AS1","TAGAP-AS1","ENST00000664321","Control","FRDA",0.006975,0.1388,0.131825,0.00216567616038035,"Higher in FRDA"
"LINC03073","LINC03073","ENST00000766016","Control","FRDA",0.21115,0.0111,-0.20005,0.00232251948194395,"Higher in Control"
"GORASP1","GORASP1","ENST00000453680","Control","FRDA",0.009825,0.1497,0.139875,0.00237324466875899,"Higher in FRDA"
"PCDHA6","PCDHA6","ENST00000529310","Control","FRDA",0.03565,0.312925,0.277275,0.00249769970152085,"Higher in FRDA"
"GNAO1","GNAO1","ENST00000262494","Control","FRDA",0.180725,0.314625,0.1339,0.00256099916990618,"Higher in FRDA"
"FAM110A","FAM110A","ENST00000246100","Control","FRDA",0.10865,0.791375,0.682725,0.00269596791730851,"Higher in FRDA"
"SLC19A1","SLC19A1","ENST00000380010","Control","FRDA",0.01195,0.21905,0.2071,0.0027282678319591,"Higher in FRDA"
"MAP3K8","MAP3K8","ENST00000263056","Control","FRDA",0.6337,0.352425,-0.281275,0.00276996301622107,"Higher in Control"
"MAP3K9-DT","MAP3K9-DT","ENST00000817032","Control","FRDA",0.415425,0.210075,-0.20535,0.00276996301622107,"Higher in Control"
"KCND3","KCND3","ENST00000369697","Control","FRDA",0.409775,0.02095,-0.388825,0.00289583692742564,"Higher in Control"
"XBP1","XBP1","ENST00000216037","Control","FRDA",0.595225,0.82865,0.233425,0.00289583692742564,"Higher in FRDA"
"POLN","POLN","ENST00000382865","Control","FRDA",0.0237,0.34765,0.32395,0.00295841624272209,"Higher in FRDA"
"COL4A6","COL4A6","ENST00000538570","Control","FRDA",0.338125,0,-0.338125,0.00298494899459916,"Higher in Control"
"CNTRL","CNTRL","ENST00000373855","Control","FRDA",0.18855,0.010325,-0.178225,0.00303581290590973,"Higher in Control"
"MRPL51","MRPL51","ENST00000229238","Control","FRDA",0.696375,0.5721,-0.124275,0.00318573823851336,"Higher in Control"
"CALCOCO2","CALCOCO2","ENST00000513119","Control","FRDA",0.110825,0,-0.110825,0.00325770254123828,"Higher in Control"
"MASP1","MASP1","ENST00000460839","Control","FRDA",0.00815,0.181825,0.173675,0.00334557776064752,"Higher in FRDA"
"POLN","POLN","ENST00000515357","Control","FRDA",0.72945,0.364325,-0.365125,0.00349591281939451,"Higher in Control"
"CENPT","CENPT","ENST00000565157","Control","FRDA",0.22005,0.35855,0.1385,0.00354381850720463,"Higher in FRDA"
"FOXO3","FOXO3","ENST00000343882","Control","FRDA",0.81715,0.636975,-0.180175,0.00372116557413395,"Higher in Control"
"ZNF74","ZNF74","ENST00000400451","Control","FRDA",0.650725,0.4273,-0.223425,0.00391672540300533,"Higher in Control"
"MMAB","MMAB","ENST00000545712","Control","FRDA",0.42145,0.295525,-0.125925,0.00394695640643776,"Higher in Control"
"TIAM2","TIAM2","ENST00000535064","Control","FRDA",0.26625,0.125675,-0.140575,0.00402740375069342,"Higher in Control"
"CENPX","CENPX","ENST00000392359","Control","FRDA",0.151975,0.272075,0.1201,0.00408827341369194,"Higher in FRDA"
"EPB41L5","EPB41L5","ENST00000263713","Control","FRDA",0.576675,0.6812,0.104525,0.004205424061755,"Higher in FRDA"
"PNCK","PNCK","ENST00000488994","Control","FRDA",0.02045,0.144,0.12355,0.00426262184713729,"Higher in FRDA"
"TENM3","TENM3","ENST00000512480","Control","FRDA",0.1375,0.034975,-0.102525,0.00426262184713729,"Higher in Control"
"LSM6","LSM6","ENST00000504181","Control","FRDA",0.0306,0.1934,0.1628,0.00430863597433834,"Higher in FRDA"
"USP9Y","USP9Y","ENST00000440408","Control","FRDA",0.43055,0.3122,-0.11835,0.00443972419392043,"Higher in Control"
"ENSG00000290937.2",NA,"ENST00000779248","Control","FRDA",0.41115,0.2151,-0.19605,0.0044608769296181,"Higher in Control"
"R3HDM1","R3HDM1","ENST00000628915","Control","FRDA",0.111,0.005675,-0.105325,0.00454025027461899,"Higher in Control"
"SPOCK1","SPOCK1","ENST00000394945","Control","FRDA",0.54635,0.659825,0.113475,0.00463479404076037,"Higher in FRDA"
"ST6GALNAC5","ST6GALNAC5","ENST00000477717","Control","FRDA",0.318175,0.43865,0.120475,0.00468918536181864,"Higher in FRDA"
