"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"PLOD2","PLOD2","ENST00000282903","Control","FRDA",0.402025,0.030425,-0.3716,0.00896631510675991,"Higher in Control"
"EXO5","EXO5","ENST00000432259","Control","FRDA",0.31415,0.015975,-0.298175,0.00903904848745714,"Higher in Control"
"BLTP3B","BLTP3B","ENST00000551973","Control","FRDA",0.25985,0.015875,-0.243975,0.009516346507951,"Higher in Control"
"UVRAG","UVRAG","ENST00000528420","Control","FRDA",0.29065,0.0173,-0.27335,0.0100225662880043,"Higher in Control"
"FLNB","FLNB","ENST00000295956","Control","FRDA",0.1376,0.003925,-0.133675,0.0101656051866556,"Higher in Control"
"ENSG00000291099.2",NA,"ENST00000736946","Control","FRDA",0.116625,0,-0.116625,0.0102881620102856,"Higher in Control"
"ENSG00000232828.2",NA,"ENST00000746901","Control","FRDA",0.315075,0.0514,-0.263675,0.0106953448482539,"Higher in Control"
"RBFOX1","RBFOX1","ENST00000551752","Control","FRDA",0.140725,0,-0.140725,0.0108931476373844,"Higher in Control"
"SERPINF1","SERPINF1","ENST00000572517","Control","FRDA",0.4008,0.094325,-0.306475,0.0111324269185132,"Higher in Control"
"TJP2","TJP2","ENST00000377245","Control","FRDA",0.0113,0.17055,0.15925,0.0117950471293424,"Higher in FRDA"
"NUDT5","NUDT5","ENST00000378937","Control","FRDA",0.376175,0.1642,-0.211975,0.0121296867605793,"Higher in Control"
"ZNF385A","ZNF385A","ENST00000550779","Control","FRDA",0.16645,0,-0.16645,0.0123379260646897,"Higher in Control"
"ANKRD52","ANKRD52","ENST00000267116","Control","FRDA",0.809525,0.7018,-0.107725,0.0126204908097321,"Higher in Control"
"WWP1","WWP1","ENST00000517970","Control","FRDA",0.206225,0.3314,0.125175,0.0127705451947399,"Higher in FRDA"
"RIMS2","RIMS2","ENST00000523362","Control","FRDA",0.036175,0.2028,0.166625,0.0131112998090601,"Higher in FRDA"
"ELP6","ELP6","ENST00000296149","Control","FRDA",0.286575,0.5078,0.221225,0.0133097454728525,"Higher in FRDA"
"PWRN1","PWRN1","ENST00000651558","Control","FRDA",0.312375,0.512725,0.20035,0.0135178486031137,"Higher in FRDA"
"KATNAL2","KATNAL2","ENST00000586198","Control","FRDA",0,0.280325,0.280325,0.013550390149242,"Higher in FRDA"
"GRK4","GRK4","ENST00000504933","Control","FRDA",0.10935,0,-0.10935,0.0137484152253345,"Higher in Control"
"CPD","CPD","ENST00000543464","Control","FRDA",0.30795,0.202825,-0.105125,0.0139902216844998,"Higher in Control"
"POLD4","POLD4","ENST00000533429","Control","FRDA",0,0.25375,0.25375,0.0140734844961466,"Higher in FRDA"
"FMNL1","FMNL1","ENST00000331495","Control","FRDA",0.06305,0.21895,0.1559,0.0147561172504919,"Higher in FRDA"
"HYAL3","HYAL3","ENST00000336307","Control","FRDA",0.2865,0.60885,0.32235,0.0147669836923319,"Higher in FRDA"
"ZNF106","ZNF106","ENST00000564754","Control","FRDA",0.441825,0.680775,0.23895,0.0147669836923319,"Higher in FRDA"
"FBXL7","FBXL7","ENST00000504595","Control","FRDA",0.619225,0.9502,0.330975,0.0154362877905998,"Higher in FRDA"
"NPIPB6","NPIPB6","ENST00000695563","Control","FRDA",0.05505,0.43715,0.3821,0.0156901749763615,"Higher in FRDA"
"TCF4","TCF4","ENST00000635990","Control","FRDA",0.116,0.014825,-0.101175,0.0157035341329944,"Higher in Control"
"DBP","DBP","ENST00000593500","Control","FRDA",0,0.205475,0.205475,0.0160491317772313,"Higher in FRDA"
"NDUFC1","NDUFC1","ENST00000394225","Control","FRDA",0.8308,0.6042,-0.2266,0.0160590714491324,"Higher in Control"
"ATG4D","ATG4D","ENST00000309469","Control","FRDA",0.2067,0.4609,0.2542,0.0161569519140354,"Higher in FRDA"
"GLIPR1","GLIPR1","ENST00000550491","Control","FRDA",0,0.194825,0.194825,0.0163980009884656,"Higher in FRDA"
"EXD3","EXD3","ENST00000465160","Control","FRDA",0.339075,0.1791,-0.159975,0.0165320002308806,"Higher in Control"
"ENSG00000244701.2",NA,"ENST00000467537","Control","FRDA",0.274225,0.02695,-0.247275,0.017217364717879,"Higher in Control"
"SPAG4","SPAG4","ENST00000468248","Control","FRDA",0.380325,0.113575,-0.26675,0.017217364717879,"Higher in Control"
"CFL2","CFL2","ENST00000673315","Control","FRDA",0.261075,0.017625,-0.24345,0.0172763601750063,"Higher in Control"
"AP2A1","AP2A1","ENST00000354293","Control","FRDA",0.69505,0.524525,-0.170525,0.0173089868217622,"Higher in Control"
"ELMO1","ELMO1","ENST00000448602","Control","FRDA",0.153725,0.04755,-0.106175,0.0176069659993185,"Higher in Control"
"PLEKHA1","PLEKHA1","ENST00000368990","Control","FRDA",0.48475,0.595525,0.110775,0.0176177799641401,"Higher in FRDA"
"DNASE1L1","DNASE1L1","ENST00000014935","Control","FRDA",0.2843,0.421225,0.136925,0.0178327137079782,"Higher in FRDA"
"SLF1","SLF1","ENST00000265140","Control","FRDA",0.669825,0.465825,-0.204,0.0182322759908248,"Higher in Control"
"FBXL7","FBXL7","ENST00000329673","Control","FRDA",0.3694,0.0425,-0.3269,0.0183832476324951,"Higher in Control"
"ACHE","ACHE","ENST00000445236","Control","FRDA",0.01085,0.117225,0.106375,0.0193873542992525,"Higher in FRDA"
"TMEM178A","TMEM178A","ENST00000281961","Control","FRDA",0.9849,0.881075,-0.103825,0.0193873542992525,"Higher in Control"
"BTG1-DT","BTG1-DT","ENST00000499685","Control","FRDA",0.081675,0.2314,0.149725,0.0194774007920377,"Higher in FRDA"
"WDSUB1","WDSUB1","ENST00000359774","Control","FRDA",0.97165,0.52165,-0.45,0.0194774007920377,"Higher in Control"
"NCOA4","NCOA4","ENST00000581486","Control","FRDA",0.846825,0.9592,0.112375,0.0195702269712773,"Higher in FRDA"
"DACH1","DACH1","ENST00000706275","Control","FRDA",0.255375,0.086175,-0.1692,0.0195964780452788,"Higher in Control"
"ARB2A","ARB2A","ENST00000395965","Control","FRDA",0.728,0.859725,0.131725,0.0196927153971851,"Higher in FRDA"
