dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Mishra_223,EPB41,EPB41,2,codingPotential; domain_identified,0.13974999999999993,0.0010666206291735853
Mishra_223,MSL1,MSL1,3,codingPotential; domain_identified; IR,0.12482500000000002,0.0011561566296133
Mishra_223,ZNF765,ZNF765,2,codingPotential; domain_identified,0.1881250000000001,0.0012008813552562179
Mishra_223,BEND6,BEND6,2,codingPotential; domain_identified,0.338575,0.0012460977677632367
Mishra_223,FAM182B,FAM182B,1,codingPotential,0.354775,0.001313670441576884
Mishra_223,ESRRG,ESRRG,2,codingPotential; domain_identified,0.3124,0.0013772841981407266
Mishra_223,C2orf76,C2orf76,2,codingPotential; domain_identified,0.14122500000000002,0.0013775050955846617
Mishra_223,PDCD2L,PDCD2L,2,codingPotential; IR,0.14855000000000002,0.0014162210792144504
Mishra_223,CTSH,CTSH,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.43385000000000007,0.001439040237342595
Mishra_223,ATP6V1C1,ATP6V1C1,2,codingPotential; domain_identified,0.117175,0.0014600966230729092
Mishra_223,KLHL13,KLHL13,2,codingPotential; domain_identified,0.254775,0.001563916924851427
Mishra_223,KAT2A,KAT2A,3,codingPotential; domain_identified; PTC,0.20082499999999992,0.0016484954049606699
Mishra_223,NIP7,NIP7,2,codingPotential; domain_identified,0.21577500000000005,0.001818514599402274
Mishra_223,PCDHA7,PCDHA7,3,codingPotential; domain_identified; signal_peptide_identified,0.19660000000000002,0.0018687798579872755
Mishra_223,TMEM181,TMEM181,2,codingPotential; domain_identified,0.20089999999999997,0.002017941565909994
Mishra_223,HRAS,HRAS,3,codingPotential; domain_identified; PTC,0.16149999999999998,0.002029168368719195
Mishra_223,ZNF185,ZNF185,1,codingPotential,0.669925,0.0020697845962210355
Mishra_223,FST,FST,3,codingPotential; domain_identified; signal_peptide_identified,0.249525,0.0021262997781584603
Mishra_223,TAGAP-AS1,TAGAP-AS1,1,IR,0.131825,0.0021656761603803453
Mishra_223,GORASP1,GORASP1,3,codingPotential; domain_identified; PTC,0.139875,0.002373244668758994
Mishra_223,PCDHA6,PCDHA6,3,codingPotential; domain_identified; signal_peptide_identified,0.277275,0.0024976997015208474
Mishra_223,GNAO1,GNAO1,2,codingPotential; domain_identified,0.1339,0.002560999169906181
Mishra_223,SORCS1,SORCS1,3,codingPotential; domain_identified; signal_peptide_identified,0.15380000000000005,0.0026117128269265567
Mishra_223,FAM110A,FAM110A,2,codingPotential; domain_identified,0.6827249999999999,0.002695967917308515
Mishra_223,SLC19A1,SLC19A1,2,codingPotential; domain_identified,0.2071,0.0027282678319590957
Mishra_223,MAP3K8,MAP3K8,2,codingPotential; domain_identified,0.28127500000000005,0.002769963016221066
Mishra_223,XBP1,XBP1,3,codingPotential; domain_identified; IR,0.30834999999999996,0.002895836927425636
Mishra_223,POLN,POLN,3,codingPotential; domain_identified; IR,0.36512500000000003,0.002958416242722087
Mishra_223,COL4A6,COL4A6,3,codingPotential; domain_identified; signal_peptide_identified,0.338125,0.002984948994599159
Mishra_223,CNTRL,CNTRL,2,codingPotential; domain_identified,0.178225,0.0030358129059097298
Mishra_223,MRPL51,MRPL51,2,codingPotential; domain_identified,0.12427499999999991,0.0031857382385133584
Mishra_223,CALCOCO2,CALCOCO2,2,codingPotential; domain_identified,0.110825,0.0032577025412382833
Mishra_223,MASP1,MASP1,3,codingPotential; domain_identified; signal_peptide_identified,0.17412500000000003,0.0033455777606475243
Mishra_223,CENPT,CENPT,3,codingPotential; domain_identified; IR,0.13850000000000004,0.003543818507204629
Mishra_223,FOXO3,FOXO3,2,codingPotential; domain_identified,0.18017499999999997,0.003721165574133954
Mishra_223,MMAB,MMAB,2,codingPotential; domain_identified,0.125925,0.003946956406437759
Mishra_223,CENPX,CENPX,2,codingPotential; domain_identified,0.15307499999999996,0.004088273413691942
Mishra_223,EPB41L5,EPB41L5,2,codingPotential; domain_identified,0.10452499999999998,0.004205424061755005
Mishra_223,PNCK,PNCK,3,codingPotential; domain_identified; IR,0.12355,0.004262621847137288
Mishra_223,TENM3,TENM3,2,codingPotential; domain_identified,0.102525,0.004262621847137288
Mishra_223,LSM6,LSM6,2,domain_identified; PTC,0.34677499999999994,0.004308635974338336
Mishra_223,USP9Y,USP9Y,1,IR,0.11834999999999996,0.004439724193920432
Mishra_223,R3HDM1,R3HDM1,2,codingPotential; domain_identified,0.15970000000000004,0.004540250274618987
Mishra_223,SPOCK1,SPOCK1,2,codingPotential; domain_identified,0.11347499999999999,0.004634794040760374
Mishra_223,ST6GALNAC5,ST6GALNAC5,2,codingPotential; domain_identified,0.120475,0.004689185361818637
Mishra_223,MCCC1,MCCC1,2,codingPotential; domain_identified,0.18994999999999998,0.004726517701723574
Mishra_223,CADM2,CADM2,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.11212500000000003,0.004771692897996958
Mishra_223,TTC7A,TTC7A,2,codingPotential; domain_identified,0.195375,0.004778172204145435
Mishra_223,HOMER3,HOMER3,3,codingPotential; domain_identified; IR,0.19767500000000005,0.004797775214430998
Mishra_223,ENSG00000289985.2,NA,1,codingPotential,0.244825,0.004993347399882637
Mishra_223,NET1,NET1,2,codingPotential; domain_identified,0.2831,0.005028613685323751
Mishra_223,PCDHB9,PCDHB9,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.29475,0.005035185500992405
Mishra_223,ADPRHL1,ADPRHL1,2,codingPotential; domain_identified,0.21474999999999989,0.005219610344713207
Mishra_223,PLEKHB1,PLEKHB1,2,codingPotential; domain_identified,0.2280000000000001,0.005523910787687761
Mishra_223,FBXW7,FBXW7,3,codingPotential; domain_identified; IR,0.1545,0.005781298319581525
Mishra_223,TJAP1,TJAP1,2,codingPotential; domain_identified,0.23884999999999998,0.005813032725439474
Mishra_223,CCDC146,CCDC146,1,codingPotential,0.2379,0.006092419058532894
Mishra_223,CHST8,CHST8,2,codingPotential; domain_identified,0.3117249999999999,0.00617187932897095
Mishra_223,C8orf58,C8orf58,2,codingPotential; domain_identified,0.168975,0.006578773504045411
Mishra_223,HSD17B7,HSD17B7,2,codingPotential; domain_identified,0.12282499999999996,0.006781370467036902
Mishra_223,ANKRD36,ANKRD36,2,codingPotential; domain_identified,0.15292499999999998,0.006915469589111402
Mishra_223,DDIT4,DDIT4,4,codingPotential; domain_identified; IR; PTC,0.20510000000000006,0.00698787938822647
Mishra_223,BBC3,BBC3,1,codingPotential,0.10727500000000001,0.0070300274558982275
Mishra_223,ATRAID,ATRAID,2,codingPotential; signal_peptide_identified,0.13590000000000002,0.007333346737687504
Mishra_223,ING3,ING3,3,codingPotential; domain_identified; PTC,0.157525,0.007424594525342559
Mishra_223,HEY1,HEY1,2,codingPotential; domain_identified,0.2611,0.007503999913286018
