"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"RPL23A","RPL23A","ENST00000394935","Control","FRDA",0.578225,0.46625,-0.111975,0.0346844175673267,"Higher in Control"
"ENSG00000290830.1",NA,"ENST00000492837","Control","FRDA",0.520375,0,-0.520375,0.0350403197011568,"Higher in Control"
"IGFBP6","IGFBP6","ENST00000549628","Control","FRDA",0.5917,0,-0.5917,0.0350430802185163,"Higher in Control"
"LBH","LBH","ENST00000395323","Control","FRDA",0.815875,0.94445,0.128575,0.0350430802185163,"Higher in FRDA"
"GLIDR","GLIDR","ENST00000666906","Control","FRDA",0.13615,0.30055,0.1644,0.0352307669724911,"Higher in FRDA"
"ENSG00000230623.9",NA,"ENST00000660351","Control","FRDA",0,0.2525,0.2525,0.0352749584201115,"Higher in FRDA"
"KLF8","KLF8","ENST00000358094","Control","FRDA",0.056725,0.2581,0.201375,0.0353867418500565,"Higher in FRDA"
"PJVK","PJVK","ENST00000437056","Control","FRDA",0.168,0.292075,0.124075,0.0353867418500565,"Higher in FRDA"
"CEP152","CEP152","ENST00000560322","Control","FRDA",0.16495,0.038325,-0.126625,0.0355288383095126,"Higher in Control"
"IFNAR2","IFNAR2","ENST00000342136","Control","FRDA",0.3564,0.061075,-0.295325,0.0356445055651847,"Higher in Control"
"C3orf18","C3orf18","ENST00000486175","Control","FRDA",0,0.13695,0.13695,0.0356596353837161,"Higher in FRDA"
"MLH3","MLH3","ENST00000555671","Control","FRDA",0.18315,0.0387,-0.14445,0.0356909964915511,"Higher in Control"
"MTRF1L","MTRF1L","ENST00000464135","Control","FRDA",0.0739,0.26335,0.18945,0.0358086271059743,"Higher in FRDA"
"CD55","CD55","ENST00000391921","Control","FRDA",0,0.16295,0.16295,0.0358255971255967,"Higher in FRDA"
"PSMF1","PSMF1","ENST00000435720","Control","FRDA",0,0.11145,0.11145,0.0359160141063638,"Higher in FRDA"
"SATB2","SATB2","ENST00000700193","Control","FRDA",0.185675,0,-0.185675,0.035923546914218,"Higher in Control"
"ARID4A","ARID4A","ENST00000445108","Control","FRDA",0.0827,0.336075,0.253375,0.0365468649681136,"Higher in FRDA"
"RGL3","RGL3","ENST00000569439","Control","FRDA",0.197925,0.0197,-0.178225,0.0366664352709507,"Higher in Control"
"CYP20A1","CYP20A1","ENST00000428265","Control","FRDA",0.016175,0.1288,0.112625,0.0370520360566913,"Higher in FRDA"
"ARL5A","ARL5A","ENST00000428992","Control","FRDA",0.163975,0.04885,-0.115125,0.0372161428197983,"Higher in Control"
"BMAL1","BMAL1","ENST00000403290","Control","FRDA",0.181225,0,-0.181225,0.0372161428197983,"Higher in Control"
"FMR1","FMR1","ENST00000691111","Control","FRDA",0.27255,0.170225,-0.102325,0.0372161428197983,"Higher in Control"
"SHPRH","SHPRH","ENST00000367505","Control","FRDA",0.571425,0.67235,0.100925,0.0377380971511327,"Higher in FRDA"
"ZNF385B","ZNF385B","ENST00000336917","Control","FRDA",0.935575,0.711975,-0.2236,0.0377854585308831,"Higher in Control"
"CNMD","CNMD","ENST00000377962","Control","FRDA",0.8267,0.933475,0.106775,0.0381168078783969,"Higher in FRDA"
"TSPAN31","TSPAN31","ENST00000548167","Control","FRDA",0.1027,0,-0.1027,0.0381168078783969,"Higher in Control"
"MBP","MBP","ENST00000447114","Control","FRDA",0.132025,0,-0.132025,0.0382511459608172,"Higher in Control"
"EFCAB2","EFCAB2","ENST00000447569","Control","FRDA",0,0.13305,0.13305,0.0382946307824093,"Higher in FRDA"
"AMBRA1","AMBRA1","ENST00000531542","Control","FRDA",0.224175,0.050375,-0.1738,0.0386010920956357,"Higher in Control"
"FGFR2","FGFR2","ENST00000358487","Control","FRDA",0.258825,0.03885,-0.219975,0.0394022409611119,"Higher in Control"
"PCDHGC3","PCDHGC3","ENST00000308177","Control","FRDA",0.06815,0.577525,0.509375,0.0395515400314708,"Higher in FRDA"
"CNMD","CNMD","ENST00000448904","Control","FRDA",0.140025,0.0262,-0.113825,0.0397329410961258,"Higher in Control"
"ARL10","ARL10","ENST00000310389","Control","FRDA",0.816575,0.927325,0.11075,0.0398090325146243,"Higher in FRDA"
"ENSG00000189229.13",NA,"ENST00000656063","Control","FRDA",0.112,0,-0.112,0.0408406864582345,"Higher in Control"
"NDRG2","NDRG2","ENST00000298687","Control","FRDA",0.16175,0.0217,-0.14005,0.0410615527216277,"Higher in Control"
"TET3","TET3","ENST00000409262","Control","FRDA",0.3828,0.518725,0.135925,0.0413802957178851,"Higher in FRDA"
"ARHGEF19","ARHGEF19","ENST00000478117","Control","FRDA",0.10425,0.001,-0.10325,0.0419901935953647,"Higher in Control"
"CNTN4","CNTN4","ENST00000397459","Control","FRDA",0,0.115025,0.115025,0.0419901935953647,"Higher in FRDA"
"KIAA1549L","KIAA1549L","ENST00000526400","Control","FRDA",0.146675,0.0229,-0.123775,0.0421050655050618,"Higher in Control"
"TFAP2B","TFAP2B","ENST00000489228","Control","FRDA",0.15235,0.275675,0.123325,0.0421569854480841,"Higher in FRDA"
"PEG3","PEG3","ENST00000649428","Control","FRDA",0.314275,0.18455,-0.129725,0.0430547370350927,"Higher in Control"
"SLC8B1","SLC8B1","ENST00000549181","Control","FRDA",0,0.23235,0.23235,0.0431582099735001,"Higher in FRDA"
"LIG4","LIG4","ENST00000442234","Control","FRDA",0.67285,0.5358,-0.13705,0.0436274109191918,"Higher in Control"
"AURKC","AURKC","ENST00000302804","Control","FRDA",0.211025,0.55525,0.344225,0.0443979009781356,"Higher in FRDA"
"ST14","ST14","ENST00000524718","Control","FRDA",0.078,0.300725,0.222725,0.0444021036408119,"Higher in FRDA"
"BMAL1","BMAL1","ENST00000389707","Control","FRDA",0,0.177425,0.177425,0.0445597173757031,"Higher in FRDA"
"ENSG00000305656.1",NA,"ENST00000812254","Control","FRDA",0.0723,0.247075,0.174775,0.044807591129,"Higher in FRDA"
"FGF2","FGF2","ENST00000644866","Control","FRDA",0.243725,0.51505,0.271325,0.0450589383891569,"Higher in FRDA"
"ENSG00000259460.2",NA,"ENST00000771068","Control","FRDA",0,0.153275,0.153275,0.0452967346722045,"Higher in FRDA"
"TET3","TET3","ENST00000305799","Control","FRDA",0.526425,0.38675,-0.139675,0.0452967346722045,"Higher in Control"
"SLX1A-SULT1A3","SLX1A-SULT1A3","ENST00000568997","Control","FRDA",0.047375,0.266975,0.2196,0.0453315473030204,"Higher in FRDA"
"FAH","FAH","ENST00000561421","Control","FRDA",0.325175,0.574,0.248825,0.0455161904227174,"Higher in FRDA"
"C5","C5","ENST00000223642","Control","FRDA",0.443475,0.62,0.176525,0.04628179375541,"Higher in FRDA"
"TMEM39B","TMEM39B","ENST00000466321","Control","FRDA",0.047475,0.1716,0.124125,0.0464628909250358,"Higher in FRDA"
"AFF4","AFF4","ENST00000265343","Control","FRDA",0.66655,0.538875,-0.127675,0.0468676131195911,"Higher in Control"
"SNHG15","SNHG15","ENST00000578968","Control","FRDA",0.255475,0.383325,0.12785,0.0468676131195911,"Higher in FRDA"
"FGF12","FGF12","ENST00000683935","Control","FRDA",0.0682,0.3245,0.2563,0.047243083010126,"Higher in FRDA"
"FLYWCH2","FLYWCH2","ENST00000293981","Control","FRDA",0,0.100825,0.100825,0.047243083010126,"Higher in FRDA"
"HTD2","HTD2","ENST00000481972","Control","FRDA",0.421175,0.531075,0.1099,0.0473726972142617,"Higher in FRDA"
"LRRN2","LRRN2","ENST00000367176","Control","FRDA",0,0.217225,0.217225,0.0477456785394772,"Higher in FRDA"
"OCLN","OCLN","ENST00000514370","Control","FRDA",0.05335,0.19025,0.1369,0.0477470301172104,"Higher in FRDA"
"FGF2","FGF2","ENST00000264498","Control","FRDA",0.549525,0.3545,-0.195025,0.0482339037608661,"Higher in Control"
"SLC11A2","SLC11A2","ENST00000262052","Control","FRDA",0.389275,0.21335,-0.175925,0.0482776345169205,"Higher in Control"
"ENSG00000291202.2",NA,"ENST00000776646","Control","FRDA",0.200325,0.056625,-0.1437,0.0483160494411328,"Higher in Control"
"LOXL3","LOXL3","ENST00000470907","Control","FRDA",0.174275,0.477925,0.30365,0.048650010002187,"Higher in FRDA"
"ARV1","ARV1","ENST00000310256","Control","FRDA",0.718125,0.88515,0.167025,0.0490650182347223,"Higher in FRDA"
"SCFD1","SCFD1","ENST00000458591","Control","FRDA",0.39055,0.4946,0.10405,0.0491855627120045,"Higher in FRDA"
"IGSF11","IGSF11","ENST00000491903","Control","FRDA",0.0303,0.179225,0.148925,0.049821541982868,"Higher in FRDA"
