gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00020568,FBXL5,FBXL5,Control,FRDA,0.0336622368359428,238
geneComp_00024888,LINC01798,LINC01798,Control,FRDA,0.0336622368359428,239
geneComp_00029080,PCMTD2,PCMTD2,Control,FRDA,0.03380462722289967,240
geneComp_00000210,ACSL4,ACSL4,Control,FRDA,0.03404220378710437,241
geneComp_00002777,CCDC74B,CCDC74B,Control,FRDA,0.03404220378710437,242
geneComp_00030809,RAB11FIP4,RAB11FIP4,Control,FRDA,0.03404220378710437,243
geneComp_00033653,SLC16A1-AS1,SLC16A1-AS1,Control,FRDA,0.03431870746627434,244
geneComp_00003637,CLK1,CLK1,Control,FRDA,0.034708538750427995,245
geneComp_00004843,DLG2,DLG2,Control,FRDA,0.034916375674049274,246
geneComp_00032886,RXYLT1,RXYLT1,Control,FRDA,0.034916375674049274,247
geneComp_00035881,TLE6,TLE6,Control,FRDA,0.034916375674049274,248
geneComp_00036783,TSPAN2,TSPAN2,Control,FRDA,0.034916375674049274,249
geneComp_00025751,LRRC23,LRRC23,Control,FRDA,0.03505289049991414,250
geneComp_00034655,SPIDR,SPIDR,Control,FRDA,0.03540124836585901,251
geneComp_00033962,SLC66A1,SLC66A1,Control,FRDA,0.03542842293223302,252
geneComp_00023482,KBTBD11-AS1,KBTBD11-AS1,Control,FRDA,0.03624814585254372,253
geneComp_00025956,LZTS2,LZTS2,Control,FRDA,0.036636684996926065,254
geneComp_00003854,COL7A1,COL7A1,Control,FRDA,0.03691524214659418,255
geneComp_00027831,NHS,NHS,Control,FRDA,0.037630321823759694,256
geneComp_00037655,WDHD1,WDHD1,Control,FRDA,0.037630321823759694,257
geneComp_00027573,NCK1-DT,NCK1-DT,Control,FRDA,0.03776328689887587,258
geneComp_00003541,CIT,CIT,Control,FRDA,0.037801200841223744,259
geneComp_00032922,SAFB2,SAFB2,Control,FRDA,0.03890542139719207,260
geneComp_00030924,RAD50,RAD50,Control,FRDA,0.038970062137482185,261
geneComp_00037472,VGLL4,VGLL4,Control,FRDA,0.038970062137482185,262
geneComp_00024970,LINC01977,LINC01977,Control,FRDA,0.03940139607281836,263
geneComp_00035221,SYNPO,SYNPO,Control,FRDA,0.03940139607281836,264
geneComp_00026290,MCTP1,MCTP1,Control,FRDA,0.039873766353062313,265
geneComp_00003725,CNKSR2,CNKSR2,Control,FRDA,0.040021969248723505,266
geneComp_00022368,HIPK3,HIPK3,Control,FRDA,0.040466403219298785,267
geneComp_00035411,TBC1D2,TBC1D2,Control,FRDA,0.04055360881807957,268
geneComp_00036440,TPD52L1,TPD52L1,Control,FRDA,0.040576494122330484,269
geneComp_00004637,DDX51,DDX51,Control,FRDA,0.04074865304515343,270
geneComp_00005596,ELAC2,ELAC2,Control,FRDA,0.040918882885630115,271
geneComp_00023447,KANK1,KANK1,Control,FRDA,0.04202110425867306,272
geneComp_00030098,PPME1,PPME1,Control,FRDA,0.04202110425867306,273
geneComp_00037485,VIRMA-DT,VIRMA-DT,Control,FRDA,0.04266939776365448,274
geneComp_00021600,GOLGA4,GOLGA4,Control,FRDA,0.04299189202933807,275
geneComp_00026792,MORN5,MORN5,Control,FRDA,0.04299189202933807,276
geneComp_00033574,SIPA1L2,SIPA1L2,Control,FRDA,0.04299189202933807,277
geneComp_00035535,TCIRG1,TCIRG1,Control,FRDA,0.04299189202933807,278
geneComp_00027827,NHLRC3,NHLRC3,Control,FRDA,0.044525830823348655,279
geneComp_00026602,MIR217HG,MIR217HG,Control,FRDA,0.04464734225957772,280
geneComp_00026866,MROH6,MROH6,Control,FRDA,0.045138059638218694,281
geneComp_00002435,CADM2,CADM2,Control,FRDA,0.045387670306344045,282
geneComp_00003780,CNTNAP2,CNTNAP2,Control,FRDA,0.04539416988434679,283
geneComp_00020838,FMR1,FMR1,Control,FRDA,0.045466091204124454,284
geneComp_00038141,ZFYVE16,ZFYVE16,Control,FRDA,0.04551657980176401,285
geneComp_00035062,STX4,STX4,Control,FRDA,0.04583018171228364,286
geneComp_00029620,PKMYT1AR,PKMYT1AR,Control,FRDA,0.046142997692062614,287
geneComp_00029881,POGLUT3,POGLUT3,Control,FRDA,0.046416833215628776,288
geneComp_00007710,ENSG00000254531.4,NA,Control,FRDA,0.04652579377492024,289
geneComp_00029907,POLR1B,POLR1B,Control,FRDA,0.04663473827142862,290
geneComp_00000435,ADNP,ADNP,Control,FRDA,0.04669121739519816,291
geneComp_00029078,PCMTD1,PCMTD1,Control,FRDA,0.04669121739519816,292
geneComp_00000319,ADAMTS12,ADAMTS12,Control,FRDA,0.048991770880422295,293
geneComp_00000880,ANKRD6,ANKRD6,Control,FRDA,0.04915272381259502,294
geneComp_00001854,BIRC5,BIRC5,Control,FRDA,0.04915272381259502,295
geneComp_00029715,PLEKHA8P1,PLEKHA8P1,Control,FRDA,0.04936196008462721,296
geneComp_00013649,ENSG00000290938.2,NA,Control,FRDA,0.04953028828063463,297
geneComp_00003229,CEP57,CEP57,Control,FRDA,0.04996859463162516,298
geneComp_00023831,KLHL2,KLHL2,Control,FRDA,0.04996859463162516,299
geneComp_00028428,ODF2,ODF2,Control,FRDA,0.04996859463162516,300
geneComp_00005343,EDEM3,EDEM3,Control,FRDA,0.049982411357564684,301
