dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Maddock_NCC_FA2,GCNT1,GCNT1,2,codingPotential; domain_identified,0.20657499999999995,0.0012017047242093037
Maddock_NCC_FA2,FLYWCH1,FLYWCH1,2,codingPotential; IR,0.101425,0.0014409018112394678
Maddock_NCC_FA2,UVRAG,UVRAG,1,codingPotential,0.1385,0.0015574087182473441
Maddock_NCC_FA2,C1D,C1D,2,codingPotential; domain_identified,0.127,0.0015574087182473441
Maddock_NCC_FA2,CHKB,CHKB,2,codingPotential; domain_identified,0.100975,0.0016040164799542781
Maddock_NCC_FA2,CAB39L,CAB39L,2,codingPotential; domain_identified,0.13632499999999992,0.00173534020789142
Maddock_NCC_FA2,GARRE1,GARRE1,3,codingPotential; domain_identified; IR,0.17187499999999997,0.0018144920924532326
Maddock_NCC_FA2,PRDM1,PRDM1,2,codingPotential; domain_identified,0.39812499999999995,0.001992180766200028
Maddock_NCC_FA2,TNFSF12,TNFSF12,2,codingPotential; domain_identified,0.43250000000000005,0.0020355367225399447
Maddock_NCC_FA2,BSG-AS1,BSG-AS1,1,IR,0.24775,0.002175333172313324
Maddock_NCC_FA2,NBPF19,NBPF19,2,codingPotential; domain_identified,0.1282,0.0025587937559226523
Maddock_NCC_FA2,TMEM79,TMEM79,2,codingPotential; IR,0.2612,0.0025618334682173107
Maddock_NCC_FA2,DHRS12,DHRS12,3,codingPotential; domain_identified; PTC,0.2149,0.0026430210792048217
Maddock_NCC_FA2,ENSG00000310190.1,NA,2,codingPotential; IR,0.17375000000000002,0.002887426335084943
Maddock_NCC_FA2,TCF7L2,TCF7L2,2,codingPotential; domain_identified,0.10772499999999999,0.0029086357871177574
Maddock_NCC_FA2,TMEM45A,TMEM45A,2,codingPotential; domain_identified,0.10315,0.003076527367742425
Maddock_NCC_FA2,FNBP1L,FNBP1L,3,codingPotential; domain_identified; IR,0.11609999999999998,0.0031201748165318355
Maddock_NCC_FA2,PKIB,PKIB,1,domain_identified,0.10915000000000002,0.0031201748165318355
Maddock_NCC_FA2,AP4B1,AP4B1,3,codingPotential; IR; PTC,0.10894999999999999,0.0031201748165318355
Maddock_NCC_FA2,KIAA1217,KIAA1217,2,codingPotential; domain_identified,0.204625,0.003266308675426052
Maddock_NCC_FA2,SCFD1,SCFD1,2,codingPotential; domain_identified,0.13512500000000002,0.003592947913280039
Maddock_NCC_FA2,LNX1,LNX1,2,codingPotential; domain_identified,0.18027500000000007,0.0036298340847651447
Maddock_NCC_FA2,LIMA1,LIMA1,2,codingPotential; domain_identified,0.18445,0.004051807007749516
Maddock_NCC_FA2,PWWP3B,PWWP3B,2,codingPotential; domain_identified,0.6444,0.004127392343234726
Maddock_NCC_FA2,SLC41A1,SLC41A1,2,codingPotential; domain_identified,0.1447,0.004714243132637236
Maddock_NCC_FA2,CCDC148,CCDC148,3,codingPotential; IR; PTC,0.19007500000000002,0.004758306823080371
Maddock_NCC_FA2,LYPLAL1,LYPLAL1,1,codingPotential,0.106975,0.0047624172621607685
Maddock_NCC_FA2,SERF1B,SERF1B,3,codingPotential; domain_identified; IR,0.372925,0.005002163316474916
Maddock_NCC_FA2,SHPRH,SHPRH,3,codingPotential; domain_identified; IR,0.10092500000000004,0.005030801643981659
Maddock_NCC_FA2,PHACTR1,PHACTR1,2,codingPotential; domain_identified,0.1933,0.005650819815045582
Maddock_NCC_FA2,CCDC7,CCDC7,3,codingPotential; domain_identified; PTC,0.171025,0.005935786069719844
Maddock_NCC_FA2,BMP1,BMP1,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.10235,0.005935786069719844
Maddock_NCC_FA2,OLFM3,OLFM3,3,codingPotential; domain_identified; signal_peptide_identified,0.31915000000000004,0.00595947225606157
Maddock_NCC_FA2,BEND7,BEND7,1,codingPotential,0.158375,0.005984617611123821
Maddock_NCC_FA2,CHN2,CHN2,3,codingPotential; domain_identified; IR,0.2242,0.006464843983009335
Maddock_NCC_FA2,TLCD4-RWDD3,TLCD4-RWDD3,2,codingPotential; domain_identified,0.14465,0.006939646198178544
Maddock_NCC_FA2,C7orf50,C7orf50,2,codingPotential; domain_identified,0.18412499999999998,0.007117720254853662
Maddock_NCC_FA2,B9D1,B9D1,3,codingPotential; domain_identified; IR,0.151675,0.007150828682426209
Maddock_NCC_FA2,KIF11,KIF11,2,codingPotential; domain_identified,0.14337500000000003,0.0074433977132803
